"site_code","one_week_date","Log10_NoV_norm","nov_3week"
"UKENAN_AW_TP000016",2021-05-24,NA,NA
"UKENAN_AW_TP000016",2021-05-31,3.166716595,3.166716595
"UKENAN_AW_TP000016",2021-06-07,NA,3.166716595
"UKENAN_AW_TP000016",2021-06-14,4.399067904,3.7828922495
"UKENAN_AW_TP000016",2021-06-21,NA,4.399067904
"UKENAN_AW_TP000016",2021-06-28,4.798044081,4.5985559925
"UKENAN_AW_TP000016",2021-07-05,NA,4.798044081
"UKENAN_AW_TP000016",2021-07-12,5.232496879,5.01527048
"UKENAN_AW_TP000016",2021-07-19,NA,5.232496879
"UKENAN_AW_TP000016",2021-07-26,4.194496483,4.713496681
"UKENAN_AW_TP000016",2021-08-02,NA,4.194496483
"UKENAN_AW_TP000016",2021-08-09,3.188630181,3.691563332
"UKENAN_AW_TP000016",2021-08-16,NA,3.188630181
"UKENAN_AW_TP000016",2021-08-23,6.306866468,4.7477483245
"UKENAN_AW_TP000016",2021-08-30,NA,6.306866468
"UKENAN_AW_TP000016",2021-09-06,5.303425248,5.805145858
"UKENAN_AW_TP000016",2021-09-13,NA,5.303425248
"UKENAN_AW_TP000016",2021-09-20,4.390269909,4.8468475785
"UKENAN_AW_TP000016",2021-09-27,NA,4.390269909
"UKENAN_AW_TP000016",2021-10-04,5.671741487,5.031005698
"UKENAN_AW_TP000016",2021-10-11,NA,5.671741487
"UKENAN_AW_TP000016",2021-10-18,3.953577011,4.812659249
"UKENAN_AW_TP000016",2021-10-25,NA,3.953577011
"UKENAN_AW_TP000016",2021-11-01,4.126032452,4.0398047315
"UKENAN_AW_TP000016",2021-11-08,NA,4.126032452
"UKENAN_AW_TP000016",2021-11-15,4.096269631,4.1111510415
"UKENAN_AW_TP000016",2021-11-22,NA,4.096269631
"UKENAN_AW_TP000016",2021-11-29,4.342471563,4.219370597
"UKENAN_AW_TP000016",2021-12-06,NA,4.342471563
"UKENAN_AW_TP000016",2021-12-13,3.660576284,4.0015239235
"UKENAN_AW_TP000016",2021-12-20,NA,3.660576284
"UKENAN_AW_TP000016",2021-12-27,3.344399242,3.502487763
"UKENAN_AW_TP000016",2022-01-03,NA,3.344399242
"UKENAN_AW_TP000016",2022-01-10,3.84208184,3.593240541
"UKENAN_AW_TP000016",2022-01-17,NA,3.84208184
"UKENAN_AW_TP000016",2022-01-24,4.935562603,4.3888222215
"UKENAN_AW_TP000016",2022-01-31,NA,4.935562603
"UKENAN_AW_TP000016",2022-02-07,5.473430513,5.204496558
"UKENAN_AW_TP000016",2022-02-14,NA,5.473430513
"UKENAN_AW_TP000016",2022-02-21,NA,5.473430513
