"","site_code","one_week_date","Log10_NoV_norm"
"1","UKENAN_AW_TP000016",2021-05-31,3.166716595
"2","UKENAN_AW_TP000016",2021-06-14,4.399067904
"3","UKENAN_AW_TP000016",2021-06-28,4.798044081
"4","UKENAN_AW_TP000016",2021-07-12,5.232496879
"5","UKENAN_AW_TP000016",2021-07-26,4.194496483
"6","UKENAN_AW_TP000016",2021-08-09,3.188630181
"7","UKENAN_AW_TP000016",2021-08-23,6.306866468
"8","UKENAN_AW_TP000016",2021-09-06,5.303425248
"9","UKENAN_AW_TP000016",2021-09-20,4.390269909
"10","UKENAN_AW_TP000016",2021-10-04,5.671741487
"11","UKENAN_AW_TP000016",2021-10-18,3.953577011
"12","UKENAN_AW_TP000016",2021-11-01,4.126032452
"13","UKENAN_AW_TP000016",2021-11-15,4.096269631
"14","UKENAN_AW_TP000016",2021-11-29,4.342471563
"15","UKENAN_AW_TP000016",2021-12-13,3.660576284
"16","UKENAN_AW_TP000016",2021-12-27,3.344399242
"17","UKENAN_AW_TP000016",2022-01-10,3.84208184
"18","UKENAN_AW_TP000016",2022-01-24,4.935562603
"19","UKENAN_AW_TP000016",2022-02-07,5.473430513
"20","UKENAN_AW_TP000016",2022-02-21,NA
"21","UKENAN_AW_TP000016",2022-03-07,NA
"22","UKENAN_AW_TP000016",2022-03-21,NA
"23","UKENAN_AW_TP000023",2021-05-31,5.88127531
"24","UKENAN_AW_TP000023",2021-06-14,6.001939518
"25","UKENAN_AW_TP000023",2021-06-28,5.162744574
"26","UKENAN_AW_TP000023",2021-07-12,6.455993529
"27","UKENAN_AW_TP000023",2021-07-26,5.844756531
"28","UKENAN_AW_TP000023",2021-08-09,5.778775472
"29","UKENAN_AW_TP000023",2021-08-23,5.743155964
"30","UKENAN_AW_TP000023",2021-09-06,6.162741652
"31","UKENAN_AW_TP000023",2021-09-20,4.978255793
"32","UKENAN_AW_TP000023",2021-10-04,3.742155302
"33","UKENAN_AW_TP000023",2021-10-18,6.441904097
"34","UKENAN_AW_TP000023",2021-11-01,6.124963615
"35","UKENAN_AW_TP000023",2021-11-15,5.947744336
"36","UKENAN_AW_TP000023",2021-11-29,5.75179617
"37","UKENAN_AW_TP000023",2021-12-13,4.033924161
"38","UKENAN_AW_TP000023",2021-12-27,5.237842473
"39","UKENAN_AW_TP000023",2022-01-10,5.352689476
"40","UKENAN_AW_TP000023",2022-01-24,4.034168371
"41","UKENAN_AW_TP000023",2022-02-07,5.359680266
"42","UKENAN_AW_TP000023",2022-02-21,5.761843077
"43","UKENAN_AW_TP000023",2022-03-07,6.0664253
"44","UKENAN_AW_TP000023",2022-03-21,5.944262703
"45","UKENAN_AW_TP000037",2021-05-31,3.903311068
"46","UKENAN_AW_TP000037",2021-06-14,5.183000937
"47","UKENAN_AW_TP000037",2021-06-28,4.947731398
"48","UKENAN_AW_TP000037",2021-07-12,4.313605257
"49","UKENAN_AW_TP000037",2021-07-26,5.384973196
"50","UKENAN_AW_TP000037",2021-08-09,5.076687378
"51","UKENAN_AW_TP000037",2021-08-23,5.630214491
"52","UKENAN_AW_TP000037",2021-09-06,5.31335313
"53","UKENAN_AW_TP000037",2021-09-20,4.963939863
"54","UKENAN_AW_TP000037",2021-10-04,4.87561066
"55","UKENAN_AW_TP000037",2021-10-18,5.063259459
"56","UKENAN_AW_TP000037",2021-11-01,5.001672052
"57","UKENAN_AW_TP000037",2021-11-15,4.876278364
"58","UKENAN_AW_TP000037",2021-11-29,4.923187599
"59","UKENAN_AW_TP000037",2021-12-13,5.154712338
"60","UKENAN_AW_TP000037",2021-12-27,4.734279882
"61","UKENAN_AW_TP000037",2022-01-10,3.838015623
"62","UKENAN_AW_TP000037",2022-01-24,4.45439103
"63","UKENAN_AW_TP000037",2022-02-07,5.245269379
"64","UKENAN_AW_TP000037",2022-02-21,5.147973496
"65","UKENAN_AW_TP000037",2022-03-07,4.639684283
"66","UKENAN_AW_TP000037",2022-03-21,6.105386941
"67","UKENAN_AW_TP000050",2021-05-31,4.897693102
"68","UKENAN_AW_TP000050",2021-06-14,4.832915852
