sample_id,site_code,sample_collection_date_time,Week_date,ammonia_mg_l,ophosph_mg_l,GI_ND,GI_lower_LOQ,GII_ND,GII_lower_LOQ,GI_per_litre,GII_per_litre,Log10_GI,Log10_GII,Log10_NoV,Log10_GI_norm,Log10_GII_norm,Log10_NoV_norm
2110688-19,UKENSO_SW_TP000026,07/02/2022 10:10,03/02/2022,55,5.099999905,FALSE,FALSE,FALSE,FALSE,20760.49365,185541.5765,4.317237676,5.268441242,5.314503586,4.222759449,5.173963016,5.220025359
2108666-27,UKENSO_SW_TP000026,15/11/2021 10:30,11/11/2021,57,5.400000095,FALSE,FALSE,FALSE,FALSE,5893.609336,265773.646,3.770381345,5.424511914,5.434037295,3.655860857,5.309991426,5.319516807
2110688-11,UKENSO_SW_TP000026,24/01/2022 10:50,20/01/2022,40,3.5,FALSE,FALSE,FALSE,FALSE,23953.52849,273307.5584,4.379369496,5.436651642,5.473138061,4.435703942,5.492986088,5.529472507
2110688-35,UKENSO_SW_TP000026,07/03/2022 10:40,03/03/2022,28,2.299999952,FALSE,FALSE,FALSE,FALSE,47814.25664,255189.1374,4.679557408,5.406862184,5.481447493,4.904830837,5.632135613,5.706720922
2110688-43,UKENSO_SW_TP000026,21/03/2022 10:25,17/03/2022,35,3,FALSE,FALSE,FALSE,FALSE,31467.26028,25030.79222,4.497858932,4.398474595,4.752033478,4.61671888,4.517334542,4.870893425
2107092-37,UKENSO_SW_TP000026,06/09/2021 11:00,02/09/2021,42,3.5,FALSE,FALSE,FALSE,FALSE,114973.5441,651443.956,5.060597919,5.813877059,5.884465413,5.106545127,5.859824267,5.930412621
2107092-31,UKENSO_SW_TP000026,23/08/2021 10:50,19/08/2021,37,2.900000095,FALSE,FALSE,FALSE,FALSE,11108.95359,96079.72257,4.045673152,4.98263174,5.030148907,4.160605649,5.097564237,5.145081404
2108666-49,UKENSO_SW_TP000026,29/12/2021 10:15,23/12/2021,14,1.299999952,FALSE,TRUE,FALSE,FALSE,1140,34895.10846,3.056904851,4.542764553,4.556725834,3.556364046,5.042223747,5.056185028
2107092-25,UKENSO_SW_TP000026,09/08/2021 10:50,05/08/2021,35,2.799999952,FALSE,FALSE,FALSE,FALSE,453769.3979,582577.3491,5.656835204,5.765353595,6.015505089,5.791199973,5.899718364,6.149869857
2106095-36,UKENSO_SW_TP000026,31/05/2021 10:30,27/05/2021,45,3.599999905,FALSE,FALSE,FALSE,FALSE,216619.7777,9245.887667,5.335698106,3.965948613,5.353850217,5.360918407,3.991168914,5.379070519
2108666-43,UKENSO_SW_TP000026,13/12/2021 10:45,09/12/2021,40,3.599999905,FALSE,FALSE,FALSE,FALSE,4562.26742,635619.5832,3.659180738,5.803197269,5.806303358,3.709395879,5.85341241,5.856518499
2107092-17,UKENSO_SW_TP000026,26/07/2021 10:45,22/07/2021,43,3.599999905,FALSE,FALSE,FALSE,FALSE,238126.8068,774064.5315,5.376808288,5.888777168,6.005262617,5.411497849,5.923466729,6.039952177
2106095-44,UKENSO_SW_TP000026,14/06/2021 10:30,10/06/2021,56,5.400000095,FALSE,FALSE,FALSE,TRUE,186754.959,1630,5.271272143,3.212187604,5.275046225,5.160736342,3.101651804,5.164510424
2108666-35,UKENSO_SW_TP000026,29/11/2021 10:50,25/11/2021,32,2.5,FALSE,FALSE,FALSE,FALSE,17709.71764,280995.8149,4.248211637,5.448699852,5.475243266,4.426943414,5.627431628,5.653975043
2108666-03,UKENSO_SW_TP000026,04/10/2021 11:00,30/09/2021,23,1.700000048,FALSE,FALSE,FALSE,FALSE,13480.43399,628664.2337,4.129703874,5.798418753,5.807632881,4.464827824,6.133542703,6.14275683
2110688-27,UKENSO_SW_TP000026,21/02/2022 11:00,17/02/2022,43,4.400000095,FALSE,FALSE,FALSE,FALSE,37501.88238,229313.6797,4.574053067,5.360429963,5.426211156,4.566069075,5.352445971,5.418227164
2108666-19,UKENSO_SW_TP000026,01/11/2021 10:50,28/10/2021,14,1.200000048,FALSE,FALSE,FALSE,FALSE,64341.85675,290928.1322,4.808493589,5.463785719,5.550558522,5.325293537,5.980585666,6.06735847
2107092-09,UKENSO_SW_TP000026,12/07/2021 10:20,08/07/2021,37,NA,FALSE,FALSE,FALSE,FALSE,2317.994749,24571.21698,3.365112448,4.390426667,4.429578071,3.45208692,4.47740114,4.516552543
2107092-01,UKENSO_SW_TP000026,28/06/2021 10:30,24/06/2021,48,4.099999905,FALSE,FALSE,FALSE,FALSE,151843.4165,166394.4638,5.181395967,5.221138873,5.502751873,5.16385204,5.203594946,5.485207946
2108666-11,UKENSO_SW_TP000026,18/10/2021 10:55,14/10/2021,65,6,FALSE,FALSE,FALSE,FALSE,128338.4069,1649085.484,5.108356644,6.217243169,6.249791013,4.942292362,6.051178887,6.083726731
2110688-03,UKENSO_SW_TP000026,10/01/2022 10:55,06/01/2022,24,1.899999976,TRUE,TRUE,FALSE,FALSE,950,21334.749,2.977723605,4.329087538,4.348007747,3.278343485,4.629707418,4.648627627
2107092-45,UKENSO_SW_TP000026,20/09/2021 11:00,16/09/2021,60,6.199999809,FALSE,FALSE,FALSE,FALSE,5684.417851,165531.3747,3.754685995,5.218880322,5.23354382,3.600046878,5.064241205,5.078904704
2106476-35,UKENTH_TWU_TP000010,09/07/2021 09:30,08/07/2021,54,NA,FALSE,FALSE,FALSE,FALSE,24766.026,847403.9808,4.393856324,5.9280905,5.940601148,4.296482266,5.830716441,5.843227089
2106476-12,UKENTH_TWU_TP000010,30/05/2021 09:30,27/05/2021,45,3.099999905,TRUE,TRUE,FALSE,FALSE,950,3441.083583,2.977723605,3.536695222,3.642571704,3.02796271,3.586934326,3.692810809
2106476-44,UKENTH_TWU_TP000010,25/07/2021 08:30,22/07/2021,48,7.5,FALSE,FALSE,FALSE,FALSE,22309.75942,45852.48499,4.348494887,4.661362877,4.833543882,4.203016097,4.515884087,4.688065092
