"","UKENAN_AW_TP000016","UKENAN_AW_TP000023","UKENAN_AW_TP000037","UKENAN_AW_TP000050","UKENAN_AW_TP000051","UKENAN_AW_TP000055","UKENAN_AW_TP000063","UKENAN_AW_TP000069","UKENAN_AW_TP000082","UKENAN_AW_TP000107","UKENAN_AW_TP000115","UKENAN_AW_TP000116","UKENAN_AW_TP000144","UKENAN_AW_TP000148","UKENAN_AW_TP000154","UKENAN_AW_TP000161","UKENAN_AW_TP000170","UKENAN_AW_TP000200","UKENAN_AW_TP000210","UKENAN_AW_TP000293","UKENAN_AW_TP000303","UKENAN_AW_TP000307","UKENAN_AW_TP000308","UKENMI_ST_TP000018","UKENMI_ST_TP000036","UKENMI_ST_TP000056","UKENMI_ST_TP000060","UKENMI_ST_TP000062","UKENMI_ST_TP000068","UKENMI_ST_TP000074","UKENMI_ST_TP000099","UKENMI_ST_TP000100","UKENMI_ST_TP000120","UKENMI_ST_TP000137","UKENMI_ST_TP000143","UKENMI_ST_TP000156","UKENMI_ST_TP000163","UKENMI_ST_TP000164","UKENMI_ST_TP000180","UKENMI_ST_TP000182","UKENMI_ST_TP000184","UKENMI_ST_TP000186","UKENMI_ST_TP000199","UKENMI_ST_TP000207","UKENMI_ST_TP000208","UKENMI_ST_TP000222","UKENMI_ST_TP000225","UKENMI_ST_TP000241","UKENMI_ST_TP000256","UKENNE_NU_TP000012","UKENNE_NU_TP000028","UKENNE_NU_TP000030","UKENNE_NU_TP000031","UKENNE_NU_TP000039","UKENNE_NU_TP000046","UKENNE_NU_TP000048","UKENNE_NU_TP000051","UKENNE_NU_TP000055","UKENNE_YW_TP000029","UKENNE_YW_TP000054","UKENNE_YW_TP000057","UKENNE_YW_TP000063","UKENNE_YW_TP000082","UKENNE_YW_TP000086","UKENNE_YW_TP000094","UKENNE_YW_TP000095","UKENNE_YW_TP000096","UKENNE_YW_TP000098","UKENNE_YW_TP000102","UKENNE_YW_TP000107","UKENNE_YW_TP000112","UKENNE_YW_TP000119","UKENNE_YW_TP000141","UKENNW_UU_TP000012","UKENNW_UU_TP000017","UKENNW_UU_TP000018","UKENNW_UU_TP000019","UKENNW_UU_TP000023","UKENNW_UU_TP000024","UKENNW_UU_TP000026","UKENNW_UU_TP000027","UKENNW_UU_TP000038","UKENNW_UU_TP000047","UKENNW_UU_TP000050","UKENNW_UU_TP000067","UKENNW_UU_TP000068","UKENNW_UU_TP000076","UKENNW_UU_TP000078","UKENNW_UU_TP000084","UKENNW_UU_TP000095","UKENNW_UU_TP000102","UKENNW_UU_TP000103","UKENNW_UU_TP000110","UKENNW_UU_TP000115","UKENNW_UU_TP000116","UKENNW_UU_TP000124","UKENNW_UU_TP000133","UKENSO_SW_TP000001","UKENSO_SW_TP000004","UKENSO_SW_TP000008","UKENSO_SW_TP000011","UKENSO_SW_TP000013","UKENSO_SW_TP000016","UKENSO_SW_TP000022","UKENSO_SW_TP000025","UKENSO_SW_TP000026","UKENSO_SW_TP000028","UKENSO_SW_TP000030","UKENSO_SW_TP000033","UKENSO_SW_TP000083","UKENSO_SW_TP000090","UKENSO_SW_TP000091","UKENSW_SWS_TP000002","UKENSW_SWS_TP000016","UKENSW_SWS_TP000024","UKENSW_SWS_TP000025","UKENSW_SWS_TP000051","UKENSW_SWS_TP000055","UKENSW_SWS_TP000058","UKENSW_SWS_TP000059","UKENSW_SWS_TP000064","UKENSW_SWS_TP000075","UKENSW_WXW_TP000004","UKENSW_WXW_TP000005","UKENSW_WXW_TP000038","UKENSW_WXW_TP000086","UKENSW_WXW_TP000100","UKENSW_WXW_TP000101","UKENTH_TWU_TP000010","UKENTH_TWU_TP000013","UKENTH_TWU_TP000014","UKENTH_TWU_TP000015","UKENTH_TWU_TP000021","UKENTH_TWU_TP000033","UKENTH_TWU_TP000050","UKENTH_TWU_TP000052","UKENTH_TWU_TP000054","UKENTH_TWU_TP000073","UKENTH_TWU_TP000084","UKENTH_TWU_TP000100","UKENTH_TWU_TP000102","UKENTH_TWU_TP000103","UKENTH_TWU_TP000106","UKENTH_TWU_TP000113","UKENTH_TWU_TP000116","UKENTH_TWU_TP000122","UKENTH_TWU_TP000125","UKENTH_TWU_TP000126","UKENTH_TWU_TP000133","UKENTH_TWU_TP000139","UKENTH_TWU_TP000155","UKENTH_TWU_TP000159"
"2021-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.116048427,NA,NA,3.791614865,NA,NA,NA,NA,NA,NA,NA,NA,4.270533488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.987183824,NA,NA,3.547733582,NA,2.462898439,NA,3.151602837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.517387493,NA,4.096038701,NA,NA,NA,NA,NA,NA,NA,NA,3.761105446,NA,4.539465403,NA,NA,NA,NA,NA,NA,NA,4.555878257,NA,NA,NA,NA,NA,NA,3.520087358,NA,5.076883779,NA,NA,NA,NA,NA,NA,4.491545363,NA,5.391310839,NA,NA,NA,NA,NA,NA,NA,3.692810809,NA,NA,NA,NA,NA,NA,2.97614197,NA,4.29831765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-05-31",3.166716595,5.88127531,3.903311068,4.897693102,4.796108887,5.540512309,4.732276406,2.780945214,5.269604345,3.551756597,5.567368304,3.552313549,3.894018201,5.180301605,4.752157927,4.680363573,5.390076894,3.919519976,3.005367047,3.609022286,5.812266377,4.281559694,4.407294191,NA,5.60796606,3.446080523,3.669353962,4.856139441,3.331671957,4.511804133,4.720913345,4.992490941,4.727233616,5.106031025,NA,NA,4.1295050025,NA,NA,4.344655137,5.563502456,3.9969467,4.827162894,3.67016313,4.9159112835,3.759873952,4.062915794,NA,5.022753245,3.504627784,NA,3.50831687,3.65000043,NA,5.097258986,NA,4.912985273,4.509759811,NA,NA,3.340205111,3.427502064,NA,NA,3.31819103,NA,5.326451148,NA,5.14873374,NA,4.04181964,4.643395943,4.888523228,4.925826852,NA,4.312214638,4.321526907,NA,4.925980906,4.316908332,3.247209071,NA,NA,NA,4.778652748,NA,4.800775006,4.4552416885,3.599970392,4.575183615,4.884091133,4.10045696,NA,NA,NA,5.233837286,3.478684826,NA,3.600289418,4.308806434,3.53165267,4.422357225,NA,4.041991261,4.318644228,5.379070519,3.825901346,5.229394425,3.951674737,NA,3.385897225,NA,4.396748123,NA,4.798677486,4.92367286,3.636127704,6.302882441,NA,3.379757398,NA,4.753369133,3.7413082,4.729654876,5.078979892,4.369170902,3.725560857,4.929792937,NA,4.114532034,3.372705821,4.533701796,4.072517563,3.377917795,4.138199744,NA,3.857142316,3.610817236,4.421613524,4.11801768,3.158053901,4.325357756,3.7075462845,3.326971186,NA,3.758866213,3.704249776,2.798675769,4.510783462,4.960279318,4.709406204,2.996654663
"2021-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.806718357,2.737141927,NA,5.42979877,4.988490604,NA,NA,NA,NA,NA,NA,4.811519856,NA,4.770375839,NA,4.384472018,NA,4.205182086,4.178379186,NA,NA,NA,4.705288235,4.202738614,NA,NA,3.712219899,NA,4.579476349,NA,NA,3.859322886,NA,NA,NA,2.864522012,NA,NA,NA,5.762935108,NA,3.947006945,NA,NA,5.312347155,NA,NA,4.546097953,NA,5.173743213,NA,NA,NA,NA,NA,4.948828409,NA,NA,3.687353013,NA,4.467350865,NA,NA,4.977552098,NA,NA,5.356683556,NA,4.458379583,NA,NA,NA,NA,4.741367124,NA,4.962526326,NA,4.864055441,NA,NA,NA,NA,NA,NA,5.165389497,NA,6.037061282,NA,NA,NA,NA,NA,NA,NA,4.525526926,NA,NA,NA,NA,NA,NA,3.432535746,NA,NA,3.260843892,4.260882957,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.471821002,NA,NA
"2021-06-14",4.399067904,6.001939518,5.183000937,4.832915852,4.795404645,4.985310684,4.351264677,2.875723854,4.162644162,4.566287062,5.523851949,3.41733231,4.565652353,5.8186772,5.141024555,3.389697376,5.47712791,4.269539177,3.920771742,5.118938908,4.440931475,3.835059895,4.106128217,4.57832679,6.009245757,4.624044924,4.683211358,4.749428974,4.580757335,4.364833791,5.176699445,4.225870038,3.876808037,4.348827722,NA,NA,4.407145152,NA,NA,5.229375503,5.394037456,3.441659669,5.404378225,4.246345039,5.576511177,NA,4.950056179,NA,5.100466404,NA,NA,NA,NA,NA,5.356729404,NA,NA,NA,5.264336663,NA,NA,4.003934354,NA,NA,3.996702707,NA,5.360041031,2.945785667,5.057519333,NA,4.232915857,5.231218657,4.922790146,NA,NA,NA,4.138596996,NA,NA,4.887295259,5.083587637,NA,NA,NA,5.101711922,NA,5.086225657,5.075106183,NA,NA,4.549385182,3.758156169,NA,NA,NA,4.724496616,4.496974748,NA,3.992628578,4.722835396,NA,4.720711696,NA,4.456547982,3.986108349,5.164510424,5.003132691,NA,5.698332003,NA,4.545502723,NA,4.906555931,NA,5.325857016,4.369831794,3.468061682,3.993671977,NA,4.97248547,NA,4.025197619,3.743686016,5.462411531,4.635824214,3.535705079,4.747183838,4.612899367,NA,4.106888982,3.919093827,4.920774112,3.658742309,5.209623851,4.747094043,NA,3.276497623,4.929519288,NA,NA,3.822963103,5.364435515,4.334945783,3.709173625,5.508242628,4.156985863,3.753827831,2.612029596,3.909977917,NA,5.409032445,3.691115546
"2021-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.261092646,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.786178574,3.913014812,NA,NA,4.681757685,NA,NA,NA,NA,NA,NA,NA,NA,5.001663752,NA,NA,4.976490082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.923898586,NA,NA,4.049664442,NA,NA,NA,4.196275745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.536069896,NA,5.274374177,NA,NA,NA,NA,NA,NA,NA,NA,4.597990899,NA,4.895461683,NA,NA,NA,NA,NA,NA,NA,4.461234587,NA,NA,NA,NA,NA,NA,4.924509499,NA,5.053609274,NA,NA,NA,NA,NA,NA,5.084754903,4.885067397,5.188897003,4.877361765,NA,NA,NA,NA,NA,NA,3.821737044,NA,NA,NA,NA,NA,NA,4.256411491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-06-28",4.798044081,5.162744574,4.947731398,4.721391894,5.587934523,5.619124489,5.884596895,5.208349592,7.065255184,5.068436406,5.334188612,3.705437485,3.976508289,5.3353372,5.715715619,3.222336298,6.105613815,4.805747454,5.069886616,4.757660005,5.130376299,4.652592936,5.01052449,4.908290844,NA,3.505003489,5.702473328,5.439641741,4.877575276,4.702038124,4.955166006,4.778833325,5.605985804,6.465506456,NA,NA,3.692491087,5.404188678,NA,NA,5.541600202,4.559910036,5.686851787,4.105064247,5.066778577,3.855882448,5.105160338,NA,5.054719033,5.084801029,NA,4.785042564,3.877867468,NA,3.857857366,NA,5.538569139,5.31301811,4.323300171,NA,4.012211352,4.685677962,NA,NA,4.24607952,NA,5.467778227,2.717565376,5.661750126,NA,5.180507289,5.681086755,4.994291379,5.348575626,NA,4.893892536,4.199258499,NA,4.953244875,5.106185015,3.936318398,NA,NA,NA,5.108803611,NA,5.138122075,4.976381193,4.526939335,5.045462244,2.741016752,4.782889669,NA,NA,NA,5.123695264,4.75265837,4.932833197,4.348946801,5.068378273,5.442871894,5.638980688,NA,5.647572774,5.221641282,5.485207946,5.447675584,5.376508119,5.781214605,NA,5.027078549,NA,5.451175455,NA,5.520982373,5.280104844,5.210035138,4.596036099,NA,NA,NA,NA,4.56382528,5.485437434,5.069649036,5.150657507,4.794776326,4.941248365,NA,4.883894227,3.993905784,5.291188143,5.300252869,4.744120977,4.79456197,NA,4.524515727,4.232178755,4.869693589,5.155706771,4.831558756,5.56056701,4.623904679,4.170151604,5.019210621,2.929892182,4.11310554,4.343336517,4.77602232,5.047517835,5.130314044,4.224396559
"2021-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.036503439,3.960653846,NA,NA,5.034886411,5.910063537,NA,NA,NA,NA,NA,NA,NA,5.239768174,NA,NA,4.477889051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.141306656,NA,NA,NA,3.628697472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.435471542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.934819182,NA,NA,4.784552631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.521152384,NA,5.245378709,NA,NA,NA,NA,NA,NA,5.055299516,NA,5.794483997,NA,NA,NA,NA,NA,NA,NA,5.843227089,NA,NA,NA,NA,NA,NA,3.424788399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-12",5.232496879,6.455993529,4.313605257,5.292221938,5.549685277,5.902979332,4.452948572,3.050394259,5.280653574,4.816589536,5.751866777,4.787680446,5.295213159,5.650181095,6.191147408,4.554467533,5.566236177,4.542739254,4.606270029,3.688971716,5.199834823,5.172190684,5.621184532,5.215266794,5.603922486,4.692986,5.680554518,4.999329115,5.0017039,4.468293307,3.931687789,4.579222692,6.049389899,5.975207498,NA,NA,4.879146766,5.571872856,NA,5.412323376,3.208206971,5.012748936,5.697297635,4.586624234,6.066233226,4.161415458,5.240696498,NA,5.065340753,5.023518873,NA,4.535813744,3.393269098,NA,5.350609139,NA,4.727429466,5.186134367,4.292530365,NA,4.523617498,5.046887731,4.607304458,NA,5.315390207,NA,5.376042446,4.949211095,5.588575464,NA,3.635503016,5.534299111,2.99990461,5.441088055,NA,4.290805018,4.785174375,NA,4.80801705,4.735320946,4.175769931,5.478229013,NA,NA,4.276106571,NA,5.05260354,NA,4.326593086,5.136088522,4.885688796,3.955327256,NA,NA,NA,5.00127751,4.63871862,NA,4.61831332,4.819473219,4.914712448,5.00012755,4.932348134,4.880123887,5.392361278,4.516552543,4.289523169,5.612874258,4.310292572,NA,4.765822116,NA,5.607547939,NA,5.873492594,6.146437845,4.608506582,4.335708011,NA,4.603386154,NA,4.845202971,4.314193063,4.921169482,4.859663706,5.092156521,5.206861298,5.495414767,NA,4.882352086,3.740024228,4.54535395,4.131682786,4.391652521,4.723244815,NA,4.954555814,5.047347249,3.672312835,4.993400704,4.228199704,5.255437581,NA,3.899681029,5.004803385,4.785241565,3.268786576,4.50889228,5.222741917,4.183225059,4.633804772,4.262417848
"2021-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.083054162,3.311294188,NA,NA,5.430542942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.766460705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.453726754,NA,NA,NA,4.568814982,NA,NA,NA,4.646883621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.496945077,5.0209361525,4.704773561,NA,NA,NA,4.250415432,NA,NA,NA,NA,4.940220886,NA,NA,NA,NA,5.499620355,NA,NA,NA,NA,5.236523701,NA,NA,NA,NA,NA,NA,5.816504472,NA,5.193642309,NA,NA,NA,NA,NA,NA,5.220751025,NA,6.21643723,NA,NA,NA,NA,NA,NA,NA,4.688065092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.767724439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-07-26",4.194496483,5.844756531,5.384973196,4.155512852,5.430129731,5.753202799,4.864112628,3.784867635,5.033643758,5.643958124,5.384008702,4.339162983,5.612534619,5.398564786,5.310815147,3.964090461,3.901344237,4.900920721,4.998253445,6.302033676,5.343497967,4.07973722,4.818510834,5.023153487,5.97554878,3.422363857,6.317096447,6.147488494,5.336994622,5.07954174,5.406704958,5.347721289,5.716050438,6.036730052,NA,NA,5.700346113,6.08085993,NA,6.085661936,6.256002548,5.755881397,NA,4.255656494,5.147386908,5.045185477,6.032735871,5.167331999,5.567731019,5.048911064,NA,5.118918801,4.76261932,NA,3.346877663,NA,4.813834236,5.7271343,5.239737955,NA,4.557626451,5.152719417,3.849646237,NA,5.473442863,NA,5.753946778,4.440866405,5.564141072,NA,4.524014678,5.673553444,5.145913222,5.220904333,NA,4.505933599,4.284024,NA,4.899737982,4.745675831,5.531914677,NA,5.37041574,NA,5.23519345,NA,5.380638556,5.561802966,5.279725609,5.621257634,2.998087838,3.706409432,NA,NA,5.207348335,4.570668751,4.814901172,NA,5.217208996,5.468812343,5.93607877,4.887400722,NA,5.388491543,5.029632869,6.039952177,5.364265109,5.879451596,4.659071649,NA,5.016371462,NA,5.911282592,NA,6.29932299,6.553380114,5.713080298,6.036983024,NA,5.512680761,NA,5.369717979,4.972731845,6.417367418,5.407781386,5.145130185,5.805198433,5.828897656,NA,5.567715746,4.004731453,5.207189816,3.775208016,5.13722822,5.064254974,4.435834235,4.549804199,5.061132436,5.090004239,5.457746045,4.953883799,5.690207667,NA,4.51482626,6.35563578,5.557723523,4.250119168,4.807082461,5.461022864,5.291786809,5.31829893,5.39272607
