site_code,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,Easting,Northing,region
UKENNW_UU_TP000110,LIVERPOOL SANDON NORTH LIVERPOOL DOCKS STW,SEWAGE TREATMENT PLANT,United Utilities Water,493125,Composite,333486,392845,North West
UKENAN_AW_TP000154,KINGS LYNN STW,SEWAGE TREATMENT PLANT,Anglian Water,57329,Grab,560275,322372,East of England
UKENSO_SW_TP000091,EAST HASTINGS BEXHILL STW,SEWAGE TREATMENT PLANT,Southern Water,137975,Composite,576559,109381,South East
UKENAN_AW_TP000037,WELLINGBOROUGH STW,SEWAGE TREATMENT PLANT,Anglian Water,208434,Grab,493847,268578,East Midlands
UKENNE_NU_TP000046,HARTLEPOOL STW,SEWAGE TREATMENT PLANT,Northumbrian Water,92120,Composite,451989,527651,North East
UKENSO_SW_TP000083,WORTHING STW,SEWAGE TREATMENT PLANT,Southern Water,139260,Composite,517007,103642,South East
UKENAN_AW_TP000023,BOSTON STW,SEWAGE TREATMENT PLANT,Anglian Water,38150,Grab,535699,340996,East Midlands
UKENAN_AW_TP000063,COLCHESTER STW,SEWAGE TREATMENT PLANT,Anglian Water,147803,Grab,602226,223615,East of England
UKENAN_AW_TP000051,CHALTON STW,SEWAGE TREATMENT PLANT,Anglian Water,112126,Grab,502806,226864,East of England
UKENSW_SWS_TP000058,PLYMOUTH CENTRAL STW,SEWAGE TREATMENT PLANT,South West Water,106232,Grab,249776,54024,South West
UKENTH_TWU_TP000073,GUILDFORD GUILDFORD SURREY STW,SEWAGE TREATMENT PLANT,Thames Water,83275,Grab,500299,151601,South East
UKENSW_SWS_TP000025,FALMOUTH STW,SEWAGE TREATMENT PLANT,South West Water,37395,Composite,182302,32206,South West
UKENMI_ST_TP000241,WORCESTER STW,SEWAGE TREATMENT PLANT,Severn Trent Water,101066,Grab,384619,253411,West Midlands
UKENSO_SW_TP000016,SANDOWN VENTNORBEMBRIDGE STW,SEWAGE TREATMENT PLANT,Southern Water,122556,Composite,460200,85191,South East
UKENNE_NU_TP000030,HORDEN AND PETERLEE STW,SEWAGE TREATMENT PLANT,Northumbrian Water,56412,Composite,444099,542631,North East
UKENNE_NU_TP000031,NEWCASTLE Howdon STW,SEWAGE TREATMENT PLANT,Northumbrian Water,673511,Composite,433599,566401,North East
UKENTH_TWU_TP000010,AYLESBURY RABANS LANE AYLESBU STW,SEWAGE TREATMENT PLANT,Thames Water,112852,Grab,478989,214851,South East
UKENTH_TWU_TP000084,LONDON HOGSMILL Valley STW,SEWAGE TREATMENT PLANT,Thames Water,392219,Composite,518999,168301,London
UKENTH_TWU_TP000100,LITTLE MARLOW STW,SEWAGE TREATMENT PLANT,Thames Water,170146,Grab,487709,186961,South East
UKENNE_YW_TP000098,LEEDS KNOSTROP STW,SEWAGE TREATMENT PLANT,Yorkshire Water,624860,Composite,434649,430711,Yorkshire and The Humber
UKENAN_AW_TP000055,CHELMSFORD STW,SEWAGE TREATMENT PLANT,Anglian Water,137741,Grab,573806,206725,East of England
UKENTH_TWU_TP000052,LONDON Crossness STW,SEWAGE TREATMENT PLANT,Thames Water,1826532,Composite,549086,180831,London
UKENTH_TWU_TP000125,LONDON Riverside STW,SEWAGE TREATMENT PLANT,Thames Water,364674,Composite,551499,181901,London
UKENNE_YW_TP000094,HUDDERSFIELD STW,SEWAGE TREATMENT PLANT,Yorkshire Water,195270,Composite,418099,420701,Yorkshire and The Humber
UKENNW_UU_TP000038,CREWE STW,SEWAGE TREATMENT PLANT,United Utilities Water,90137,Composite,366639,357111,North West
UKENNE_YW_TP000095,HULL STW,SEWAGE TREATMENT PLANT,Yorkshire Water,332695,Composite,516284,429068,Yorkshire and The Humber
UKENNE_YW_TP000082,BRADFORD ESHOLT STW,SEWAGE TREATMENT PLANT,Yorkshire Water,363540,Composite,418979,438751,Yorkshire and The Humber
UKENMI_ST_TP000156,BIRMINGHAM BLACK COUNTRY NO. 1 MINWORTH STW,SEWAGE TREATMENT PLANT,Severn Trent Water,1416777,Grab,416499,292356,West Midlands
UKENNE_NU_TP000051,DARLINGTON STW,SEWAGE TREATMENT PLANT,Northumbrian Water,97540,Composite,428919,511531,North East
UKENNE_NU_TP000012,MIDDLESBOROUGH STW,SEWAGE TREATMENT PLANT,Northumbrian Water,129973,Composite,456119,524091,North East
UKENNE_NU_TP000055,WASHINGTON STW,SEWAGE TREATMENT PLANT,Northumbrian Water,58579,Composite,432799,555701,North East
UKENNW_UU_TP000050,Fleetwood and Blackpool Fleetwood Marsh STW,SEWAGE TREATMENT PLANT,United Utilities Water,227168,Composite,333099,446501,North West
UKENTH_TWU_TP000015,LONDON Beddington STW,SEWAGE TREATMENT PLANT,Thames Water,411084,Grab,529519,166319,London
UKENTH_TWU_TP000054,LONDON Deepham STW,SEWAGE TREATMENT PLANT,Thames Water,864311,Grab,535659,193171,London
UKENNW_UU_TP000116,STOCKPORT STW,SEWAGE TREATMENT PLANT,United Utilities Water,157180,Composite,386519,389821,North West
UKENTH_TWU_TP000050,LONDON Crawley STW,SEWAGE TREATMENT PLANT,Thames Water,119756,Grab,528799,140201,South East
UKENNE_YW_TP000107,DEWSBURY AND BATLEY STW,SEWAGE TREATMENT PLANT,Yorkshire Water,255787,Composite,426089,419971,Yorkshire and The Humber
UKENTH_TWU_TP000102,LONDON Long Reach STW,SEWAGE TREATMENT PLANT,Thames Water,810350,Grab,555599,176701,South East
UKENTH_TWU_TP000014,LONDON Becton STW,SEWAGE TREATMENT PLANT,Thames Water,3031194,Composite,545469,181671,London
UKENMI_ST_TP000180,STOURBRIDGE HALESOWEN STW,SEWAGE TREATMENT PLANT,Severn Trent Water,268134,Grab,387079,283821,West Midlands
UKENSO_SW_TP000022,RAMSGATE SANDWICH DEAL STW,SEWAGE TREATMENT PLANT,Southern Water,87672,Composite,633188,162889,South East
UKENTH_TWU_TP000139,SWINDON RODBOURNE SWINDON WI STW,SEWAGE TREATMENT PLANT,Thames Water,204688,Grab,412709,185801,South West
UKENSW_SWS_TP000064,SIDMOUTH STW,SEWAGE TREATMENT PLANT,South West Water,13951,Grab,313655,90455,South West
UKENTH_TWU_TP000133,SLOUGH WOOD STW,SEWAGE TREATMENT PLANT,Thames Water,180643,Grab,494299,179201,South East
UKENMI_ST_TP000068,COVENTRY STW,SEWAGE TREATMENT PLANT,Severn Trent Water,430216,Grab,433599,273701,West Midlands
UKENTH_TWU_TP000159,OXFORD STW,SEWAGE TREATMENT PLANT,Thames Water,182560,Grab,454389,202231,South East
UKENSW_SWS_TP000055,PAR STW,SEWAGE TREATMENT PLANT,South West Water,25703,Grab,206629,52671,South West
UKENNE_YW_TP000112,CHESTERFIELD STW,SEWAGE TREATMENT PLANT,Yorkshire Water,99910,Grab,439229,374651,East Midlands
UKENNE_YW_TP000119,DONCASTER SANDALL STW,SEWAGE TREATMENT PLANT,Yorkshire Water,95371,Composite,460189,405981,Yorkshire and The Humber
UKENNE_YW_TP000102,BARNSLEY LUNDWOOD STW,SEWAGE TREATMENT PLANT,Yorkshire Water,87807,Composite,437799,407001,Yorkshire and The Humber
UKENMI_ST_TP000207,STOKE ON TRENT STRONGFORD STW,SEWAGE TREATMENT PLANT,Severn Trent Water,331869,Grab,387819,339051,West Midlands
UKENNE_YW_TP000096,KEIGHLEY MARLEY STW,SEWAGE TREATMENT PLANT,Yorkshire Water,84396,Grab,408519,441231,Yorkshire and The Humber
UKENMI_ST_TP000184,TELFORD STW,SEWAGE TREATMENT PLANT,Severn Trent Water,90829,Grab,361299,313701,West Midlands
UKENMI_ST_TP000256,CHELTENHAM STW,SEWAGE TREATMENT PLANT,Severn Trent Water,120445,Grab,389929,224861,South West
UKENMI_ST_TP000208,STROUD STW,SEWAGE TREATMENT PLANT,Severn Trent Water,66478,Grab,378889,204891,South West
UKENSW_WXW_TP000086,TAUNTON STW,SEWAGE TREATMENT PLANT,Wessex Water,81593,Composite,328049,124551,South West
UKENSW_WXW_TP000038,BOURNEMOUTH HOLDENHURST STW,SEWAGE TREATMENT PLANT,Wessex Water,159404,Composite,413049,95051,South West
UKENAN_AW_TP000082,DOWNHAM MARKET STW,SEWAGE TREATMENT PLANT,Anglian Water,12565,Grab,560459,304206,East of England
UKENAN_AW_TP000115,GREAT YARMOUTH CAISTER STW,SEWAGE TREATMENT PLANT,Anglian Water,94856,Grab,651859,311135,East of England
UKENAN_AW_TP000303,BASILDON STW,SEWAGE TREATMENT PLANT,Anglian Water,102680,Grab,573699,190651,East of England
UKENAN_AW_TP000116,GRIMSBY STW,SEWAGE TREATMENT PLANT,Anglian Water,93518,Grab,526212,410959,Yorkshire and The Humber
UKENAN_AW_TP000307,SOUTHEND SEWAGE WORKS SOUTHEND ON,SEWAGE TREATMENT PLANT,Anglian Water,205020,Grab,587999,187601,East of England
UKENAN_AW_TP000016,BEDFORD STW,SEWAGE TREATMENT PLANT,Anglian Water,151259,Grab,508487,249332,East of England
UKENSO_SW_TP000013,EASTLEIGH STW,SEWAGE TREATMENT PLANT,Southern Water,92513,Composite,446839,117931,South East
UKENSO_SW_TP000033,CANTERBURY STW,SEWAGE TREATMENT PLANT,Southern Water,67623,Composite,616939,159720,South East
UKENNW_UU_TP000018,BLACKBURN STW,SEWAGE TREATMENT PLANT,United Utilities Water,125653,Composite,360469,429411,North West
UKENNW_UU_TP000133,WIGAN HOSCAR STW,SEWAGE TREATMENT PLANT,United Utilities Water,202579,Composite,348172,411615,North West
UKENAN_AW_TP000200,NORWICH STW,SEWAGE TREATMENT PLANT,Anglian Water,265186,Grab,627841,307418,East of England
