"one_week_date","lockdown_step3","lockdown_step4","lockdown_planB","lockdown_lifting"
"2021-05-24",1,0,0,0
"2021-05-31",1,0,0,0
"2021-06-07",1,0,0,0
"2021-06-14",1,0,0,0
"2021-06-21",1,0,0,0
"2021-06-28",1,0,0,0
"2021-07-05",1,0,0,0
"2021-07-12",1,0,0,0
"2021-07-19",0,1,0,0
"2021-07-26",0,1,0,0
"2021-08-02",0,1,0,0
"2021-08-09",0,1,0,0
"2021-08-16",0,1,0,0
"2021-08-23",0,1,0,0
"2021-08-30",0,1,0,0
"2021-09-06",0,1,0,0
"2021-09-13",0,1,0,0
"2021-09-20",0,1,0,0
"2021-09-27",0,1,0,0
"2021-10-04",0,1,0,0
"2021-10-11",0,1,0,0
"2021-10-18",0,1,0,0
"2021-10-25",0,1,0,0
"2021-11-01",0,1,0,0
"2021-11-08",0,1,0,0
"2021-11-15",0,1,0,0
"2021-11-22",0,1,0,0
"2021-11-29",0,1,0,0
"2021-12-06",0,1,0,0
"2021-12-13",0,0,1,0
"2021-12-20",0,0,1,0
"2021-12-27",0,0,1,0
"2022-01-03",0,0,1,0
"2022-01-10",0,0,1,0
"2022-01-17",0,0,1,0
"2022-01-24",0,0,1,0
"2022-01-31",0,0,0,1
"2022-02-07",0,0,0,1
"2022-02-14",0,0,0,1
"2022-02-21",0,0,0,1
"2022-02-28",0,0,0,1
"2022-03-07",0,0,0,1
"2022-03-14",0,0,0,1
"2022-03-21",0,0,0,1
"2022-03-28",0,0,0,1
