"X","sample_id","site_code","date_only","one_week_date","Log10_NoV_norm","lockdown_lifting","lockdown_step4","lockdown_planB","lockdown_NA","lockdown_step3","lockdown_planA"
1,"2110688-19","UKENSO_SW_TP000026","2022-02-07",2022-02-07,5.220025359,1,0,0,0,0,1
2,"2108666-27","UKENSO_SW_TP000026","2021-11-15",2021-11-15,5.319516807,0,1,0,0,0,0
3,"2110688-11","UKENSO_SW_TP000026","2022-01-24",2022-01-24,5.529472507,0,0,1,0,0,0
4,"2110688-35","UKENSO_SW_TP000026","2022-03-07",2022-03-07,5.706720922,1,0,0,0,0,1
5,"2110688-43","UKENSO_SW_TP000026","2022-03-21",2022-03-21,4.870893425,0,0,0,1,0,0
6,"2107092-37","UKENSO_SW_TP000026","2021-09-06",2021-09-06,5.930412621,0,1,0,0,0,0
7,"2107092-31","UKENSO_SW_TP000026","2021-08-23",2021-08-23,5.145081404,0,1,0,0,0,0
8,"2108666-49","UKENSO_SW_TP000026","2021-12-29",2021-12-27,5.056185028,0,0,1,0,0,0
9,"2107092-25","UKENSO_SW_TP000026","2021-08-09",2021-08-09,6.149869857,0,1,0,0,0,0
10,"2106095-36","UKENSO_SW_TP000026","2021-05-31",2021-05-31,5.379070519,0,0,0,0,1,0
11,"2108666-43","UKENSO_SW_TP000026","2021-12-13",2021-12-13,5.856518499,0,0,1,0,0,0
12,"2107092-17","UKENSO_SW_TP000026","2021-07-26",2021-07-26,6.039952177,0,1,0,0,0,0
13,"2106095-44","UKENSO_SW_TP000026","2021-06-14",2021-06-14,5.164510424,0,0,0,0,1,0
14,"2108666-35","UKENSO_SW_TP000026","2021-11-29",2021-11-29,5.653975043,0,1,0,0,0,0
15,"2108666-03","UKENSO_SW_TP000026","2021-10-04",2021-10-04,6.14275683,0,1,0,0,0,0
16,"2110688-27","UKENSO_SW_TP000026","2022-02-21",2022-02-21,5.418227164,1,0,0,0,0,1
17,"2108666-19","UKENSO_SW_TP000026","2021-11-01",2021-11-01,6.06735847,0,1,0,0,0,0
18,"2107092-09","UKENSO_SW_TP000026","2021-07-12",2021-07-12,4.516552543,0,0,0,0,1,0
19,"2107092-01","UKENSO_SW_TP000026","2021-06-28",2021-06-28,5.485207946,0,0,0,0,1,0
20,"2108666-11","UKENSO_SW_TP000026","2021-10-18",2021-10-18,6.083726731,0,1,0,0,0,0
21,"2110688-03","UKENSO_SW_TP000026","2022-01-10",2022-01-10,4.648627627,0,0,1,0,0,0
22,"2107092-45","UKENSO_SW_TP000026","2021-09-20",2021-09-20,5.078904704,0,1,0,0,0,0
23,"2106476-35","UKENTH_TWU_TP000010","2021-07-09",2021-07-05,5.843227089,0,0,0,0,1,0
24,"2106476-12","UKENTH_TWU_TP000010","2021-05-30",2021-05-24,3.692810809,0,0,0,1,0,0
25,"2106476-44","UKENTH_TWU_TP000010","2021-07-25",2021-07-19,4.688065092,0,1,0,0,0,0
26,"2106476-27","UKENTH_TWU_TP000010","2021-06-27",2021-06-21,3.821737044,0,0,0,0,1,0
27,"2110631-05","UKENTH_TWU_TP000010","2021-12-13",2021-12-13,5.709554293,0,0,1,0,0,0
28,"2106476-19","UKENTH_TWU_TP000010","2021-06-13",2021-06-07,4.525526926,0,0,0,0,1,0
29,"2110631-47","UKENTH_TWU_TP000010","2022-03-20",2022-03-14,6.241339719,1,0,0,0,0,1
30,"2110631-28","UKENTH_TWU_TP000010","2022-02-07",2022-02-07,5.90403448,1,0,0,0,0,1
31,"2110631-11","UKENTH_TWU_TP000010","2021-12-29",2021-12-27,4.665959556,0,0,1,0,0,0
32,"2106803-48","UKENTH_TWU_TP000010","2021-11-28",2021-11-22,5.371034328,0,1,0,0,0,0
33,"2110631-40","UKENTH_TWU_TP000010","2022-03-07",2022-03-07,6.036033196,1,0,0,0,0,1
34,"2110631-34","UKENTH_TWU_TP000010","2022-02-20",2022-02-14,5.804706897,1,0,0,0,0,1
35,"2110631-23","UKENTH_TWU_TP000010","2022-01-23",2022-01-17,4.884533771,0,0,1,0,0,0
36,"2106803-12","UKENTH_TWU_TP000010","2021-09-20",2021-09-20,4.96872585,0,1,0,0,0,0
37,"2106803-08","UKENTH_TWU_TP000010","2021-09-06",2021-09-06,4.666089603,0,1,0,0,0,0
38,"2110631-17","UKENTH_TWU_TP000010","2022-01-09",2022-01-03,5.693909526,0,0,1,0,0,0
39,"2106803-18","UKENTH_TWU_TP000010","2021-10-06",2021-10-04,5.079978076,0,1,0,0,0,0
40,"2106803-31","UKENTH_TWU_TP000010","2021-10-31",2021-10-25,5.168635653,0,1,0,0,0,0
41,"2106803-24","UKENTH_TWU_TP000010","2021-10-17",2021-10-11,5.577176862,0,1,0,0,0,0
42,"2106803-37","UKENTH_TWU_TP000010","2021-11-15",2021-11-15,5.129964309,0,1,0,0,0,0
43,"2106751-31","UKENNE_YW_TP000102","2021-07-14",2021-07-12,5.588575464,0,0,0,0,1,0
44,"2108516-19","UKENNE_YW_TP000102","2021-09-20",2021-09-20,5.151098954,0,1,0,0,0,0
45,"2106751-15","UKENNE_YW_TP000102","2021-06-14",2021-06-14,5.057519333,0,0,0,0,1,0
46,"2108516-11","UKENNE_YW_TP000102","2021-09-06",2021-09-06,5.558141913,0,1,0,0,0,0
47,"2109767-10","UKENNE_YW_TP000102","2021-11-29",2021-11-29,4.989526097,0,1,0,0,0,0
48,"2108516-27","UKENNE_YW_TP000102","2021-10-04",2021-10-04,5.345978945,0,1,0,0,0,0
49,"2111496-18","UKENNE_YW_TP000102","2022-03-21",2022-03-21,5.65302477,0,0,0,1,0,0
50,"2109767-24","UKENNE_YW_TP000102","2021-12-29",2021-12-27,5.670834596,0,0,1,0,0,0
51,"2109767-18","UKENNE_YW_TP000102","2021-12-13",2021-12-13,6.162195192,0,0,1,0,0,0
52,"2109767-44","UKENNE_YW_TP000102","2022-02-07",2022-02-07,6.080100666,1,0,0,0,0,1
53,"2106751-38","UKENNE_YW_TP000102","2021-07-26",2021-07-26,5.564141072,0,1,0,0,0,0
54,"2109767-02","UKENNE_YW_TP000102","2021-11-15",2021-11-15,5.395723945,0,1,0,0,0,0
55,"2108516-05","UKENNE_YW_TP000102","2021-08-23",2021-08-23,6.16801252,0,1,0,0,0,0
56,"2108516-43","UKENNE_YW_TP000102","2021-11-01",2021-11-01,4.948887417,0,1,0,0,0,0
57,"2106751-08","UKENNE_YW_TP000102","2021-05-31",2021-05-31,5.14873374,0,0,0,0,1,0
58,"2108516-35","UKENNE_YW_TP000102","2021-10-18",2021-10-18,5.020304142,0,1,0,0,0,0
59,"2106751-46","UKENNE_YW_TP000102","2021-08-09",2021-08-09,5.510399878,0,1,0,0,0,0
60,"2111496-02","UKENNE_YW_TP000102","2022-02-21",2022-02-21,4.554142671,1,0,0,0,0,1
61,"2109767-28","UKENNE_YW_TP000102","2022-01-10",2022-01-10,4.321095751,0,0,1,0,0,0
62,"2111496-10","UKENNE_YW_TP000102","2022-03-07",2022-03-07,5.446575163,1,0,0,0,0,1
63,"2106751-22","UKENNE_YW_TP000102","2021-06-28",2021-06-28,5.661750126,0,0,0,0,1,0
64,"2109767-36","UKENNE_YW_TP000102","2022-01-24",2022-01-24,4.252279877,0,0,1,0,0,0
65,"2111362-10","UKENSW_SWS_TP000002","2022-02-07",2022-02-07,6.503005469,1,0,0,0,0,1
66,"2108588-36","UKENSW_SWS_TP000002","2021-10-18",2021-10-18,6.011010316,0,1,0,0,0,0
67,"2111362-18","UKENSW_SWS_TP000002","2022-02-21",2022-02-21,4.841602964,1,0,0,0,0,1
68,"2107052-24","UKENSW_SWS_TP000002","2021-06-28",2021-06-28,5.451175455,0,0,0,0,1,0
69,"2109798-40","UKENSW_SWS_TP000002","2022-01-10",2022-01-10,5.065962965,0,0,1,0,0,0
70,"2107052-32","UKENSW_SWS_TP000002","2021-07-12",2021-07-12,5.607547939,0,0,0,0,1,0
71,"2109798-36","UKENSW_SWS_TP000002","2021-12-29",2021-12-27,6.703543024,0,0,1,0,0,0
72,"2107052-40","UKENSW_SWS_TP000002","2021-07-26",2021-07-26,5.911282592,0,1,0,0,0,0
73,"2111362-34","UKENSW_SWS_TP000002","2022-03-21",2022-03-21,5.447991729,0,0,0,1,0,0
74,"2109798-30","UKENSW_SWS_TP000002","2021-12-13",2021-12-13,6.698645188,0,0,1,0,0,0
75,"2108588-20","UKENSW_SWS_TP000002","2021-09-20",2021-09-20,5.931868181,0,1,0,0,0,0
76,"2111362-26","UKENSW_SWS_TP000002","2022-03-07",2022-03-07,5.789973575,1,0,0,0,0,1
77,"2108588-06","UKENSW_SWS_TP000002","2021-08-23",2021-08-23,5.070881611,0,1,0,0,0,0
78,"2108588-12","UKENSW_SWS_TP000002","2021-09-06",2021-09-06,5.915088414,0,1,0,0,0,0
79,"2111362-02","UKENSW_SWS_TP000002","2022-01-24",2022-01-24,5.108230102,0,0,1,0,0,0
80,"2109798-22","UKENSW_SWS_TP000002","2021-11-29",2021-11-29,5.892270547,0,1,0,0,0,0
81,"2107052-48","UKENSW_SWS_TP000002","2021-08-09",2021-08-09,5.517787839,0,1,0,0,0,0
82,"2107052-16","UKENSW_SWS_TP000002","2021-06-14",2021-06-14,4.906555931,0,0,0,0,1,0
83,"2108588-28","UKENSW_SWS_TP000002","2021-10-04",2021-10-04,5.794263958,0,1,0,0,0,0
84,"2107052-08","UKENSW_SWS_TP000002","2021-05-31",2021-05-31,4.396748123,0,0,0,0,1,0
85,"2109798-06","UKENSW_SWS_TP000002","2021-11-01",2021-11-01,6.307274977,0,1,0,0,0,0
86,"2109798-14","UKENSW_SWS_TP000002","2021-11-15",2021-11-15,5.515417246,0,1,0,0,0,0
87,"2111400-01","UKENNW_UU_TP000012","2022-02-07",2022-02-07,5.029070277,1,0,0,0,0,1
88,"2106709-47","UKENNW_UU_TP000012","2021-07-26",2021-07-26,5.220904333,0,1,0,0,0,0
89,"2111400-17","UKENNW_UU_TP000012","2022-03-07",2022-03-07,6.261167329,1,0,0,0,0,1
90,"2109701-43","UKENNW_UU_TP000012","2022-01-24",2022-01-24,4.381968456,0,0,1,0,0,0
91,"2106709-40","UKENNW_UU_TP000012","2021-07-14",2021-07-12,5.441088055,0,0,0,0,1,0
92,"2109701-34","UKENNW_UU_TP000012","2022-01-09",2022-01-03,5.494497171,0,0,1,0,0,0
93,"2106709-22","UKENNW_UU_TP000012","2021-06-13",2021-06-07,5.762935108,0,0,0,0,1,0
94,"2109701-17","UKENNW_UU_TP000012","2021-11-29",2021-11-29,6.046605492,0,1,0,0,0,0
95,"2108476-35","UKENNW_UU_TP000012","2021-10-04",2021-10-04,5.30253511,0,1,0,0,0,0
96,"2111400-09","UKENNW_UU_TP000012","2022-02-21",2022-02-21,5.617581322,1,0,0,0,0,1
97,"2106709-31","UKENNW_UU_TP000012","2021-06-28",2021-06-28,5.348575626,0,0,0,0,1,0
98,"2109701-01","UKENNW_UU_TP000012","2021-11-01",2021-11-01,4.502868959,0,1,0,0,0,0
99,"2108476-43","UKENNW_UU_TP000012","2021-10-18",2021-10-18,4.976812306,0,1,0,0,0,0
100,"2109701-31","UKENNW_UU_TP000012","2021-12-29",2021-12-27,5.623631707,0,0,1,0,0,0
101,"2108476-19","UKENNW_UU_TP000012","2021-09-06",2021-09-06,4.521161089,0,1,0,0,0,0
102,"2108476-27","UKENNW_UU_TP000012","2021-09-20",2021-09-20,4.95731477,0,1,0,0,0,0
103,"2109701-09","UKENNW_UU_TP000012","2021-11-15",2021-11-15,6.306852716,0,1,0,0,0,0
104,"2111400-25","UKENNW_UU_TP000012","2022-03-21",2022-03-21,5.87312256,0,0,0,1,0,0
105,"2108476-13","UKENNW_UU_TP000012","2021-08-23",2021-08-23,4.77881928,0,1,0,0,0,0
106,"2109701-25","UKENNW_UU_TP000012","2021-12-13",2021-12-13,6.477029124,0,0,1,0,0,0
107,"2106709-15","UKENNW_UU_TP000012","2021-05-31",2021-05-31,4.925826852,0,0,0,0,1,0
108,"2108476-05","UKENNW_UU_TP000012","2021-08-09",2021-08-09,5.996235495,0,1,0,0,0,0
109,"2108753-38","UKENAN_AW_TP000303","2021-11-15",2021-11-15,4.876719113,0,1,0,0,0,0
110,"2107222-49","UKENAN_AW_TP000303","2021-09-06",2021-09-06,6.021630255,0,1,0,0,0,0
111,"2110531-22","UKENAN_AW_TP000303","2022-01-24",2022-01-24,6.060337374,0,0,1,0,0,0
112,"2106008-45","UKENAN_AW_TP000303","2021-05-31",2021-05-31,5.812266377,0,0,0,0,1,0
113,"2108753-30","UKENAN_AW_TP000303","2021-11-01",2021-11-01,4.625124595,0,1,0,0,0,0
114,"2110531-36","UKENAN_AW_TP000303","2022-02-21",2022-02-21,5.723262332,1,0,0,0,0,1
115,"2110531-10","UKENAN_AW_TP000303","2021-12-29",2021-12-27,5.232906908,0,0,1,0,0,0
116,"2107222-11","UKENAN_AW_TP000303","2021-06-28",2021-06-28,5.130376299,0,0,0,0,1,0
117,"2110531-04","UKENAN_AW_TP000303","2021-12-13",2021-12-13,5.545472352,0,0,1,0,0,0
118,"2108753-07","UKENAN_AW_TP000303","2021-09-20",2021-09-20,5.452838223,0,1,0,0,0,0
119,"2107222-27","UKENAN_AW_TP000303","2021-07-26",2021-07-26,5.343497967,0,1,0,0,0,0
120,"2107222-19","UKENAN_AW_TP000303","2021-07-12",2021-07-12,5.199834823,0,0,0,0,1,0
121,"2108753-15","UKENAN_AW_TP000303","2021-10-04",2021-10-04,5.544692427,0,1,0,0,0,0
122,"2111842-01","UKENAN_AW_TP000303","2022-03-21",2022-03-21,6.405937603,0,0,0,1,0,0
123,"2108753-46","UKENAN_AW_TP000303","2021-11-29",2021-11-29,5.565296283,0,1,0,0,0,0
124,"2107222-35","UKENAN_AW_TP000303","2021-08-09",2021-08-09,5.625978256,0,1,0,0,0,0
125,"2107222-43","UKENAN_AW_TP000303","2021-08-23",2021-08-23,5.632566769,0,1,0,0,0,0
126,"2110531-14","UKENAN_AW_TP000303","2022-01-10",2022-01-10,4.770060012,0,0,1,0,0,0
127,"2110531-30","UKENAN_AW_TP000303","2022-02-07",2022-02-07,5.174020856,1,0,0,0,0,1
128,"2108753-23","UKENAN_AW_TP000303","2021-10-18",2021-10-18,5.125400728,0,1,0,0,0,0
129,"2110531-44","UKENAN_AW_TP000303","2022-03-09",2022-03-07,6.434190051,1,0,0,0,0,1
130,"2107222-03","UKENAN_AW_TP000303","2021-06-14",2021-06-14,4.440931475,0,0,0,0,1,0
131,"2110632-08","UKENTH_TWU_TP000013","2021-11-29",2021-11-29,5.300740321,0,1,0,0,0,0
132,"2111670-09","UKENTH_TWU_TP000013","2022-03-21",2022-03-21,5.939952261,0,0,0,1,0,0
133,"2108690-43","UKENTH_TWU_TP000013","2021-11-01",2021-11-01,5.077525983,0,1,0,0,0,0
134,"2106580-37","UKENTH_TWU_TP000013","2021-07-12",2021-07-12,4.882352086,0,0,0,0,1,0
135,"2110632-01","UKENTH_TWU_TP000013","2021-11-15",2021-11-15,5.692449561,0,1,0,0,0,0
136,"2111670-02","UKENTH_TWU_TP000013","2022-03-07",2022-03-07,6.026846834,1,0,0,0,0,1
137,"2110632-22","UKENTH_TWU_TP000013","2022-01-05",2022-01-03,5.150162887,0,0,1,0,0,0
138,"2110632-24","UKENTH_TWU_TP000013","2022-01-10",2022-01-10,5.430036509,0,0,1,0,0,0
139,"2108690-09","UKENTH_TWU_TP000013","2021-08-25",2021-08-23,5.69956858,0,1,0,0,0,0
140,"2108690-13","UKENTH_TWU_TP000013","2021-09-06",2021-09-06,5.934674752,0,1,0,0,0,0
141,"2108690-35","UKENTH_TWU_TP000013","2021-10-18",2021-10-18,4.992916636,0,1,0,0,0,0
142,"2110632-44","UKENTH_TWU_TP000013","2022-02-21",2022-02-21,5.337143545,1,0,0,0,0,1
143,"2110632-37","UKENTH_TWU_TP000013","2022-02-07",2022-02-07,3.827658878,1,0,0,0,0,1
144,"2106580-43","UKENTH_TWU_TP000013","2021-07-26",2021-07-26,5.567715746,0,1,0,0,0,0
145,"2110632-32","UKENTH_TWU_TP000013","2022-01-24",2022-01-24,4.910255568,0,0,1,0,0,0
146,"2106580-50","UKENTH_TWU_TP000013","2021-08-09",2021-08-09,5.268859498,0,1,0,0,0,0
147,"2106580-13","UKENTH_TWU_TP000013","2021-05-31",2021-05-31,4.114532034,0,0,0,0,1,0
148,"2106580-20","UKENTH_TWU_TP000013","2021-06-14",2021-06-14,4.106888982,0,0,0,0,1,0
149,"2106580-29","UKENTH_TWU_TP000013","2021-06-28",2021-06-28,4.883894227,0,0,0,0,1,0
150,"2108690-20","UKENTH_TWU_TP000013","2021-09-20",2021-09-20,5.659771593,0,1,0,0,0,0
151,"2108690-28","UKENTH_TWU_TP000013","2021-10-04",2021-10-04,5.272365903,0,1,0,0,0,0
152,"2110632-15","UKENTH_TWU_TP000013","2021-12-13",2021-12-13,5.087875446,0,0,1,0,0,0
153,"2107055-42","UKENSW_WXW_TP000005","2021-08-09",2021-08-09,5.911387071,0,1,0,0,0,0
154,"2107055-10","UKENSW_WXW_TP000005","2021-06-14",2021-06-14,5.462411531,0,0,0,0,1,0
155,"2110509-22","UKENSW_WXW_TP000005","2022-01-10",2022-01-10,5.490448921,0,0,1,0,0,0
156,"2108815-30","UKENSW_WXW_TP000005","2021-10-18",2021-10-18,5.684147528,0,1,0,0,0,0
157,"2110509-18","UKENSW_WXW_TP000005","2021-12-29",2021-12-27,5.355891138,0,0,1,0,0,0
158,"2107055-18","UKENSW_WXW_TP000005","2021-06-28",2021-06-28,5.485437434,0,0,0,0,1,0
159,"2108815-46","UKENSW_WXW_TP000005","2021-11-15",2021-11-15,5.4262334,0,1,0,0,0,0
160,"2107055-02","UKENSW_WXW_TP000005","2021-05-31",2021-05-31,4.729654876,0,0,0,0,1,0
161,"2108815-14","UKENSW_WXW_TP000005","2021-09-20",2021-09-20,5.694308398,0,1,0,0,0,0
162,"2110509-12","UKENSW_WXW_TP000005","2021-12-13",2021-12-13,5.362323562,0,0,1,0,0,0
163,"2108815-06","UKENSW_WXW_TP000005","2021-09-06",2021-09-06,6.166123028,0,1,0,0,0,0
164,"2110509-30","UKENSW_WXW_TP000005","2022-01-24",2022-01-24,5.641982682,0,0,1,0,0,0
165,"2107055-50","UKENSW_WXW_TP000005","2021-08-23",2021-08-23,5.073329736,0,1,0,0,0,0
166,"2108815-22","UKENSW_WXW_TP000005","2021-10-04",2021-10-04,5.264436408,0,1,0,0,0,0
167,"2107055-34","UKENSW_WXW_TP000005","2021-07-26",2021-07-26,6.417367418,0,1,0,0,0,0
168,"2110509-38","UKENSW_WXW_TP000005","2022-02-07",2022-02-07,5.292398221,1,0,0,0,0,1
169,"2108815-38","UKENSW_WXW_TP000005","2021-11-01",2021-11-01,5.685741999,0,1,0,0,0,0
170,"2110509-45","UKENSW_WXW_TP000005","2022-02-21",2022-02-21,5.838942358,1,0,0,0,0,1
171,"2107055-26","UKENSW_WXW_TP000005","2021-07-12",2021-07-12,4.921169482,0,0,0,0,1,0
172,"2110509-04","UKENSW_WXW_TP000005","2021-11-29",2021-11-29,5.178558337,0,1,0,0,0,0
173,"2111743-03","UKENSW_WXW_TP000005","2022-03-07",2022-03-07,5.777003046,1,0,0,0,0,1
174,"2111743-11","UKENSW_WXW_TP000005","2022-03-21",2022-03-21,6.179185601,0,0,0,1,0,0
175,"2110532-50","UKENAN_AW_TP000016","2022-03-07",2022-03-07,NA,1,0,0,0,0,1
176,"2110532-25","UKENAN_AW_TP000016","2022-01-24",2022-01-24,4.935562603,0,0,1,0,0,0
177,"2108754-33","UKENAN_AW_TP000016","2021-11-01",2021-11-01,4.126032452,0,1,0,0,0,0
178,"2108754-41","UKENAN_AW_TP000016","2021-11-15",2021-11-15,4.096269631,0,1,0,0,0,0
179,"2110532-13","UKENAN_AW_TP000016","2021-12-29",2021-12-27,3.344399242,0,0,1,0,0,0
180,"2108754-17","UKENAN_AW_TP000016","2021-10-04",2021-10-04,5.671741487,0,1,0,0,0,0
181,"2106009-47","UKENAN_AW_TP000016","2021-05-31",2021-05-31,3.166716595,0,0,0,0,1,0
182,"2107224-29","UKENAN_AW_TP000016","2021-07-26",2021-07-26,4.194496483,0,1,0,0,0,0
183,"2111845-08","UKENAN_AW_TP000016","2022-03-21",2022-03-21,NA,0,0,0,1,0,0
184,"2107224-37","UKENAN_AW_TP000016","2021-08-09",2021-08-09,3.188630181,0,1,0,0,0,0
185,"2108754-09","UKENAN_AW_TP000016","2021-09-20",2021-09-20,4.390269909,0,1,0,0,0,0
186,"2108754-25","UKENAN_AW_TP000016","2021-10-18",2021-10-18,3.953577011,0,1,0,0,0,0
187,"2110532-42","UKENAN_AW_TP000016","2022-02-21",2022-02-21,NA,1,0,0,0,0,1
188,"2108754-01","UKENAN_AW_TP000016","2021-09-06",2021-09-06,5.303425248,0,1,0,0,0,0
189,"2107224-05","UKENAN_AW_TP000016","2021-06-14",2021-06-14,4.399067904,0,0,0,0,1,0
190,"2110532-07","UKENAN_AW_TP000016","2021-12-13",2021-12-13,3.660576284,0,0,1,0,0,0
191,"2107224-21","UKENAN_AW_TP000016","2021-07-12",2021-07-12,5.232496879,0,0,0,0,1,0
192,"2110532-33","UKENAN_AW_TP000016","2022-02-07",2022-02-07,5.473430513,1,0,0,0,0,1
193,"2107224-13","UKENAN_AW_TP000016","2021-06-28",2021-06-28,4.798044081,0,0,0,0,1,0
194,"2108754-49","UKENAN_AW_TP000016","2021-11-29",2021-11-29,4.342471563,0,1,0,0,0,0
195,"2107224-45","UKENAN_AW_TP000016","2021-08-23",2021-08-23,6.306866468,0,1,0,0,0,0
196,"2110532-17","UKENAN_AW_TP000016","2022-01-10",2022-01-10,3.84208184,0,0,1,0,0,0
197,"2111607-07","UKENSW_SWS_TP000016","2022-02-02",2022-01-31,5.639577066,1,0,0,0,0,1
198,"2111607-31","UKENSW_SWS_TP000016","2022-03-16",2022-03-14,4.18408935,1,0,0,0,0,1
199,"2110492-01","UKENSW_SWS_TP000016","2021-10-27",2021-10-25,5.97648293,0,1,0,0,0,0
200,"2111607-50","UKENSW_SWS_TP000016","2022-01-19",2022-01-17,3.777684695,0,0,1,0,0,0
201,"2110492-27","UKENSW_SWS_TP000016","2021-12-08",2021-12-06,6.658635402,0,1,0,0,0,0
202,"2110492-36","UKENSW_SWS_TP000016","2021-12-29",2021-12-27,5.8163882,0,0,1,0,0,0
203,"2111607-15","UKENSW_SWS_TP000016","2022-02-16",2022-02-14,5.542643884,1,0,0,0,0,1
204,"2110492-11","UKENSW_SWS_TP000016","2021-11-10",2021-11-08,5.358058121,0,1,0,0,0,0
205,"2110492-37","UKENSW_SWS_TP000016","2022-01-05",2022-01-03,5.705971553,0,0,1,0,0,0
206,"2110492-19","UKENSW_SWS_TP000016","2021-11-24",2021-11-22,5.878648893,0,1,0,0,0,0
207,"2111607-39","UKENSW_SWS_TP000016","2022-03-30",2022-03-28,3.412911541,0,0,0,1,0,0
208,"2110492-50","UKENSW_SWS_TP000016","2021-10-13",2021-10-11,5.592361135,0,1,0,0,0,0
209,"2111607-23","UKENSW_SWS_TP000016","2022-03-02",2022-02-28,5.917819946,1,0,0,0,0,1
210,"2111608-29","UKENNW_UU_TP000017","2022-02-14",2022-02-14,6.595896989,1,0,0,0,0,1
211,"2111608-21","UKENNW_UU_TP000017","2022-01-31",2022-01-31,5.957910281,1,0,0,0,0,1
212,"2111608-13","UKENNW_UU_TP000017","2022-01-17",2022-01-17,5.253328663,0,0,1,0,0,0
213,"2111608-37","UKENNW_UU_TP000017","2022-02-28",2022-02-28,5.10918907,1,0,0,0,0,1
214,"2111608-45","UKENNW_UU_TP000017","2022-03-14",2022-03-14,5.961190632,1,0,0,0,0,1
215,"2111608-04","UKENNW_UU_TP000017","2022-01-05",2022-01-03,5.594070174,0,0,1,0,0,0
