,site_code,dailyrain,date,
1,UKENAN_AW_TP000016,0.001636009,01/05/2021,
2,UKENAN_AW_TP000016,0.003326424,02/05/2021,
3,UKENAN_AW_TP000016,0.000348798,03/05/2021,
4,UKENAN_AW_TP000016,0.002287043,04/05/2021,
5,UKENAN_AW_TP000016,0.000862759,05/05/2021,
6,UKENAN_AW_TP000016,0.000303245,06/05/2021,
7,UKENAN_AW_TP000016,2.34E-05,07/05/2021,
8,UKENAN_AW_TP000016,3.43E-07,08/05/2021,
9,UKENAN_AW_TP000016,1.61E-05,09/05/2021,
10,UKENAN_AW_TP000016,2.76E-05,10/05/2021,
11,UKENAN_AW_TP000016,0.001978246,11/05/2021,
12,UKENAN_AW_TP000016,0.000943119,12/05/2021,
13,UKENAN_AW_TP000016,0.000916159,13/05/2021,
14,UKENAN_AW_TP000016,6.16E-05,14/05/2021,
15,UKENAN_AW_TP000016,0.000744527,15/05/2021,
16,UKENAN_AW_TP000016,0.006585328,16/05/2021,
17,UKENAN_AW_TP000016,0.000820645,17/05/2021,
18,UKENAN_AW_TP000016,1.93E-06,18/05/2021,
19,UKENAN_AW_TP000016,6.17E-07,19/05/2021,
20,UKENAN_AW_TP000016,1.55E-06,20/05/2021,
21,UKENAN_AW_TP000016,6.64E-07,21/05/2021,
22,UKENAN_AW_TP000016,6.99E-05,22/05/2021,
23,UKENAN_AW_TP000016,1.21E-05,23/05/2021,
24,UKENAN_AW_TP000016,9.04E-07,24/05/2021,
25,UKENAN_AW_TP000016,8.91E-07,25/05/2021,
26,UKENAN_AW_TP000016,7.13E-08,26/05/2021,
27,UKENAN_AW_TP000016,2.75E-06,27/05/2021,
28,UKENAN_AW_TP000016,1.47E-06,28/05/2021,
29,UKENAN_AW_TP000016,0.000424398,29/05/2021,
30,UKENAN_AW_TP000016,0.000660624,30/05/2021,
31,UKENAN_AW_TP000016,0.00088707,31/05/2021,
32,UKENAN_AW_TP000016,0.00024696,01/06/2021,
33,UKENAN_AW_TP000016,0.003641156,02/06/2021,
34,UKENAN_AW_TP000016,0.000282596,03/06/2021,
35,UKENAN_AW_TP000016,0.002033531,04/06/2021,
36,UKENAN_AW_TP000016,0.000131985,05/06/2021,
37,UKENAN_AW_TP000016,0.000588363,06/06/2021,
38,UKENAN_AW_TP000016,0.000128991,07/06/2021,
39,UKENAN_AW_TP000016,0.002861069,08/06/2021,
40,UKENAN_AW_TP000016,0.00025233,09/06/2021,
41,UKENAN_AW_TP000016,0.000264537,10/06/2021,
42,UKENAN_AW_TP000016,0.001251689,11/06/2021,
43,UKENAN_AW_TP000016,8.59E-05,12/06/2021,
44,UKENAN_AW_TP000016,1.21E-06,13/06/2021,
45,UKENAN_AW_TP000016,3.14E-07,14/06/2021,
46,UKENAN_AW_TP000016,4.73E-05,15/06/2021,
47,UKENAN_AW_TP000016,0.000206884,16/06/2021,
48,UKENAN_AW_TP000016,1.17E-05,17/06/2021,
49,UKENAN_AW_TP000016,8.15E-06,18/06/2021,
50,UKENAN_AW_TP000016,2.74E-05,19/06/2021,
51,UKENAN_AW_TP000016,1.70E-06,20/06/2021,
52,UKENAN_AW_TP000016,5.59E-07,21/06/2021,
53,UKENAN_AW_TP000016,5.24E-06,22/06/2021,
54,UKENAN_AW_TP000016,4.38E-05,23/06/2021,
55,UKENAN_AW_TP000016,5.83E-05,24/06/2021,
56,UKENAN_AW_TP000016,6.06E-05,25/06/2021,
57,UKENAN_AW_TP000016,1.48E-05,26/06/2021,
58,UKENAN_AW_TP000016,1.58E-05,27/06/2021,
59,UKENAN_AW_TP000016,2.25E-06,28/06/2021,
60,UKENAN_AW_TP000016,2.96E-05,29/06/2021,
61,UKENAN_AW_TP000016,5.34E-05,30/06/2021,
62,UKENAN_AW_TP000016,4.22E-05,01/07/2021,
63,UKENAN_AW_TP000016,0.000604804,02/07/2021,
64,UKENAN_AW_TP000016,0.000102372,03/07/2021,
65,UKENAN_AW_TP000016,0.000554932,04/07/2021,
66,UKENAN_AW_TP000016,5.88E-05,05/07/2021,
67,UKENAN_AW_TP000016,0.001615718,06/07/2021,
68,UKENAN_AW_TP000016,0.001376461,07/07/2021,
69,UKENAN_AW_TP000016,0.002031375,08/07/2021,
70,UKENAN_AW_TP000016,0.004215526,09/07/2021,
71,UKENAN_AW_TP000016,0.00342103,10/07/2021,
72,UKENAN_AW_TP000016,0.000587818,11/07/2021,
73,UKENAN_AW_TP000016,4.47E-05,12/07/2021,
74,UKENAN_AW_TP000016,0.000238072,13/07/2021,
75,UKENAN_AW_TP000016,9.78E-05,14/07/2021,
76,UKENAN_AW_TP000016,0.000335533,15/07/2021,
77,UKENAN_AW_TP000016,0.000334434,16/07/2021,
78,UKENAN_AW_TP000016,0.000383004,17/07/2021,
79,UKENAN_AW_TP000016,0.00245825,18/07/2021,
80,UKENAN_AW_TP000016,0.000276692,19/07/2021,
81,UKENAN_AW_TP000016,0.000362861,20/07/2021,
82,UKENAN_AW_TP000016,0.000420739,21/07/2021,
83,UKENAN_AW_TP000016,0.003341437,22/07/2021,
84,UKENAN_AW_TP000016,0.006834037,23/07/2021,
85,UKENAN_AW_TP000016,0.000344896,24/07/2021,
86,UKENAN_AW_TP000016,5.04E-05,25/07/2021,
87,UKENAN_AW_TP000016,5.52E-05,26/07/2021,
88,UKENAN_AW_TP000016,0.000144104,27/07/2021,
89,UKENAN_AW_TP000016,6.73E-05,28/07/2021,
90,UKENAN_AW_TP000016,0.000316969,29/07/2021,
91,UKENAN_AW_TP000016,4.06E-05,30/07/2021,
92,UKENAN_AW_TP000016,0.000104911,31/07/2021,
93,UKENAN_AW_TP000016,0.000106225,01/08/2021,
94,UKENAN_AW_TP000016,0.000742565,02/08/2021,
95,UKENAN_AW_TP000016,0.000297608,03/08/2021,
96,UKENAN_AW_TP000016,0.002292362,04/08/2021,
97,UKENAN_AW_TP000016,0.002109366,05/08/2021,
98,UKENAN_AW_TP000016,0.001476803,06/08/2021,
99,UKENAN_AW_TP000016,0.000646698,07/08/2021,
100,UKENAN_AW_TP000016,0.000297809,08/08/2021,
101,UKENAN_AW_TP000016,0.008659201,09/08/2021,
102,UKENAN_AW_TP000016,0.001045367,10/08/2021,
103,UKENAN_AW_TP000016,0.000864597,11/08/2021,
104,UKENAN_AW_TP000016,0.001523127,12/08/2021,
105,UKENAN_AW_TP000016,0.000590964,13/08/2021,
106,UKENAN_AW_TP000016,0.003352826,14/08/2021,
107,UKENAN_AW_TP000016,0.002294747,15/08/2021,
108,UKENAN_AW_TP000016,0.003006586,16/08/2021,
109,UKENAN_AW_TP000016,0.002602529,17/08/2021,
110,UKENAN_AW_TP000016,0.001927331,18/08/2021,
111,UKENAN_AW_TP000016,0.00214085,19/08/2021,
112,UKENAN_AW_TP000016,0.00239714,20/08/2021,
113,UKENAN_AW_TP000016,0.001018599,21/08/2021,
114,UKENAN_AW_TP000016,0.001758603,22/08/2021,
115,UKENAN_AW_TP000016,0.001638296,23/08/2021,
116,UKENAN_AW_TP000016,0.001721067,24/08/2021,
117,UKENAN_AW_TP000016,0.002658514,25/08/2021,
118,UKENAN_AW_TP000016,0.00095312,26/08/2021,
119,UKENAN_AW_TP000016,0.000191137,27/08/2021,
120,UKENAN_AW_TP000016,4.20E-05,28/08/2021,
121,UKENAN_AW_TP000016,0.000285453,29/08/2021,
122,UKENAN_AW_TP000016,4.16E-05,30/08/2021,
123,UKENAN_AW_TP000016,1.85E-06,31/08/2021,
124,UKENAN_AW_TP000016,1.03E-07,01/09/2021,
125,UKENAN_AW_TP000016,0.00080085,02/09/2021,
126,UKENAN_AW_TP000016,5.35E-05,03/09/2021,
127,UKENAN_AW_TP000016,0.001869264,04/09/2021,
128,UKENAN_AW_TP000016,0.000761554,05/09/2021,
129,UKENAN_AW_TP000016,0.002288964,06/09/2021,
130,UKENAN_AW_TP000016,0.002255613,07/09/2021,
131,UKENAN_AW_TP000016,0.002341037,08/09/2021,
132,UKENAN_AW_TP000016,0.00115729,09/09/2021,
133,UKENAN_AW_TP000016,0.000764164,10/09/2021,
134,UKENAN_AW_TP000016,0.000961976,11/09/2021,
135,UKENAN_AW_TP000016,0.000567941,12/09/2021,
136,UKENAN_AW_TP000016,0.001437962,13/09/2021,
137,UKENAN_AW_TP000016,0.000139024,14/09/2021,
138,UKENAN_AW_TP000016,0.00015656,15/09/2021,
139,UKENAN_AW_TP000016,5.90E-05,16/09/2021,
140,UKENAN_AW_TP000016,0.000150284,17/09/2021,
141,UKENAN_AW_TP000016,5.44E-05,18/09/2021,
142,UKENAN_AW_TP000016,0.000149391,19/09/2021,
143,UKENAN_AW_TP000016,0.00011662,20/09/2021,
144,UKENAN_AW_TP000016,9.12E-05,21/09/2021,
145,UKENAN_AW_TP000016,2.17E-05,22/09/2021,
146,UKENAN_AW_TP000016,0.000412742,23/09/2021,
147,UKENAN_AW_TP000016,0.00126539,24/09/2021,
148,UKENAN_AW_TP000016,0.001494345,25/09/2021,
149,UKENAN_AW_TP000016,0.002961392,26/09/2021,
150,UKENAN_AW_TP000016,0.00658882,27/09/2021,
151,UKENAN_AW_TP000016,0.00107988,28/09/2021,
152,UKENAN_AW_TP000016,0.003829901,29/09/2021,
