,site_code,dailytemp,date,,
1,UKENAN_AW_TP000016,280.1153656,01/05/2021,,
2,UKENAN_AW_TP000016,279.1942755,02/05/2021,,
3,UKENAN_AW_TP000016,280.7318632,03/05/2021,,
4,UKENAN_AW_TP000016,279.4947094,04/05/2021,,
5,UKENAN_AW_TP000016,278.1878471,05/05/2021,,
6,UKENAN_AW_TP000016,277.3969392,06/05/2021,,
7,UKENAN_AW_TP000016,276.5032722,07/05/2021,,
8,UKENAN_AW_TP000016,278.1978859,08/05/2021,,
9,UKENAN_AW_TP000016,281.7977002,09/05/2021,,
10,UKENAN_AW_TP000016,283.6782214,10/05/2021,,
11,UKENAN_AW_TP000016,282.326569,11/05/2021,,
12,UKENAN_AW_TP000016,281.9099609,12/05/2021,,
13,UKENAN_AW_TP000016,281.6515431,13/05/2021,,
14,UKENAN_AW_TP000016,280.421182,14/05/2021,,
15,UKENAN_AW_TP000016,281.0148919,15/05/2021,,
16,UKENAN_AW_TP000016,281.3764394,16/05/2021,,
17,UKENAN_AW_TP000016,280.4830288,17/05/2021,,
18,UKENAN_AW_TP000016,281.5647882,18/05/2021,,
19,UKENAN_AW_TP000016,281.5109124,19/05/2021,,
20,UKENAN_AW_TP000016,279.099311,20/05/2021,,
21,UKENAN_AW_TP000016,279.8705711,21/05/2021,,
22,UKENAN_AW_TP000016,284.1749846,22/05/2021,,
23,UKENAN_AW_TP000016,283.6351473,23/05/2021,,
24,UKENAN_AW_TP000016,283.0380058,24/05/2021,,
25,UKENAN_AW_TP000016,282.7331717,25/05/2021,,
26,UKENAN_AW_TP000016,282.1927742,26/05/2021,,
27,UKENAN_AW_TP000016,281.2636106,27/05/2021,,
28,UKENAN_AW_TP000016,281.6170661,28/05/2021,,
29,UKENAN_AW_TP000016,280.4139606,29/05/2021,,
30,UKENAN_AW_TP000016,278.6673111,30/05/2021,,
31,UKENAN_AW_TP000016,275.7608729,31/05/2021,,
32,UKENAN_AW_TP000016,286.026695,01/06/2021,,
33,UKENAN_AW_TP000016,283.7912191,02/06/2021,,
34,UKENAN_AW_TP000016,281.7101224,03/06/2021,,
35,UKENAN_AW_TP000016,277.1504406,04/06/2021,,
36,UKENAN_AW_TP000016,275.4350857,05/06/2021,,
37,UKENAN_AW_TP000016,274.6518612,06/06/2021,,
38,UKENAN_AW_TP000016,276.1930771,07/06/2021,,
39,UKENAN_AW_TP000016,278.3156111,08/06/2021,,
40,UKENAN_AW_TP000016,276.8224415,09/06/2021,,
41,UKENAN_AW_TP000016,277.7044254,10/06/2021,,
42,UKENAN_AW_TP000016,280.8278222,11/06/2021,,
43,UKENAN_AW_TP000016,275.101028,12/06/2021,,
44,UKENAN_AW_TP000016,275.4332561,13/06/2021,,
45,UKENAN_AW_TP000016,273.9106848,14/06/2021,,
46,UKENAN_AW_TP000016,275.5002128,15/06/2021,,
47,UKENAN_AW_TP000016,277.8330038,16/06/2021,,
48,UKENAN_AW_TP000016,275.8528748,17/06/2021,,
49,UKENAN_AW_TP000016,275.0222223,18/06/2021,,
50,UKENAN_AW_TP000016,278.4698823,19/06/2021,,
51,UKENAN_AW_TP000016,274.5945683,20/06/2021,,
52,UKENAN_AW_TP000016,274.5599624,21/06/2021,,
53,UKENAN_AW_TP000016,276.4867477,22/06/2021,,
54,UKENAN_AW_TP000016,276.911869,23/06/2021,,
55,UKENAN_AW_TP000016,275.9973939,24/06/2021,,
56,UKENAN_AW_TP000016,275.0088692,25/06/2021,,
57,UKENAN_AW_TP000016,277.4661963,26/06/2021,,
58,UKENAN_AW_TP000016,280.592769,27/06/2021,,
59,UKENAN_AW_TP000016,278.5982732,28/06/2021,,
60,UKENAN_AW_TP000016,282.4797779,29/06/2021,,
61,UKENAN_AW_TP000016,277.394057,30/06/2021,,
62,UKENAN_AW_TP000016,278.7239696,01/07/2021,,
63,UKENAN_AW_TP000016,288.4568732,02/07/2021,,
64,UKENAN_AW_TP000016,288.2444322,03/07/2021,,
65,UKENAN_AW_TP000016,288.9751716,04/07/2021,,
66,UKENAN_AW_TP000016,289.916043,05/07/2021,,
67,UKENAN_AW_TP000016,289.5065867,06/07/2021,,
68,UKENAN_AW_TP000016,290.3120838,07/07/2021,,
69,UKENAN_AW_TP000016,289.208804,08/07/2021,,
70,UKENAN_AW_TP000016,288.7548538,09/07/2021,,
71,UKENAN_AW_TP000016,289.0627009,10/07/2021,,
72,UKENAN_AW_TP000016,290.0144988,11/07/2021,,
73,UKENAN_AW_TP000016,290.6547966,12/07/2021,,
74,UKENAN_AW_TP000016,291.2402412,13/07/2021,,
75,UKENAN_AW_TP000016,290.690642,14/07/2021,,
76,UKENAN_AW_TP000016,291.2666974,15/07/2021,,
77,UKENAN_AW_TP000016,290.8655667,16/07/2021,,
78,UKENAN_AW_TP000016,288.2418387,17/07/2021,,
79,UKENAN_AW_TP000016,288.2978719,18/07/2021,,
80,UKENAN_AW_TP000016,290.1107337,19/07/2021,,
81,UKENAN_AW_TP000016,290.1989509,20/07/2021,,
82,UKENAN_AW_TP000016,291.1955249,21/07/2021,,
83,UKENAN_AW_TP000016,290.3889336,22/07/2021,,
84,UKENAN_AW_TP000016,290.8049013,23/07/2021,,
85,UKENAN_AW_TP000016,289.6614439,24/07/2021,,
86,UKENAN_AW_TP000016,288.8217195,25/07/2021,,
87,UKENAN_AW_TP000016,289.1467552,26/07/2021,,
88,UKENAN_AW_TP000016,288.6261027,27/07/2021,,
89,UKENAN_AW_TP000016,287.9309322,28/07/2021,,
90,UKENAN_AW_TP000016,288.1558319,29/07/2021,,
91,UKENAN_AW_TP000016,286.9628209,30/07/2021,,
92,UKENAN_AW_TP000016,288.1392106,31/07/2021,,
93,UKENAN_AW_TP000016,287.8614655,01/08/2021,,
94,UKENAN_AW_TP000016,279.3085281,02/08/2021,,
95,UKENAN_AW_TP000016,280.4890024,03/08/2021,,
96,UKENAN_AW_TP000016,281.0110885,04/08/2021,,
97,UKENAN_AW_TP000016,281.2631766,05/08/2021,,
98,UKENAN_AW_TP000016,279.5254544,06/08/2021,,
99,UKENAN_AW_TP000016,279.4239544,07/08/2021,,
100,UKENAN_AW_TP000016,281.2421994,08/08/2021,,
101,UKENAN_AW_TP000016,283.6276807,09/08/2021,,
102,UKENAN_AW_TP000016,287.5829654,10/08/2021,,
103,UKENAN_AW_TP000016,285.3269685,11/08/2021,,
104,UKENAN_AW_TP000016,284.0151308,12/08/2021,,
105,UKENAN_AW_TP000016,284.3951808,13/08/2021,,
106,UKENAN_AW_TP000016,284.1491148,14/08/2021,,
107,UKENAN_AW_TP000016,282.5618988,15/08/2021,,
108,UKENAN_AW_TP000016,283.7678519,16/08/2021,,
109,UKENAN_AW_TP000016,283.7578235,17/08/2021,,
110,UKENAN_AW_TP000016,283.4443556,18/08/2021,,
111,UKENAN_AW_TP000016,283.6741371,19/08/2021,,
112,UKENAN_AW_TP000016,283.9719003,20/08/2021,,
113,UKENAN_AW_TP000016,282.9996408,21/08/2021,,
114,UKENAN_AW_TP000016,283.7237769,22/08/2021,,
115,UKENAN_AW_TP000016,283.2269423,23/08/2021,,
116,UKENAN_AW_TP000016,282.4434956,24/08/2021,,
117,UKENAN_AW_TP000016,283.0130632,25/08/2021,,
118,UKENAN_AW_TP000016,283.2133454,26/08/2021,,
119,UKENAN_AW_TP000016,283.5671124,27/08/2021,,
120,UKENAN_AW_TP000016,285.9978566,28/08/2021,,
121,UKENAN_AW_TP000016,286.8100319,29/08/2021,,
122,UKENAN_AW_TP000016,287.1481209,30/08/2021,,
123,UKENAN_AW_TP000016,284.9369503,31/08/2021,,
124,UKENAN_AW_TP000016,287.4409101,01/09/2021,,
125,UKENAN_AW_TP000016,279.839415,02/09/2021,,
126,UKENAN_AW_TP000016,274.4033561,03/09/2021,,
127,UKENAN_AW_TP000016,278.0945566,04/09/2021,,
128,UKENAN_AW_TP000016,278.6422683,05/09/2021,,
129,UKENAN_AW_TP000016,277.6888877,06/09/2021,,
130,UKENAN_AW_TP000016,276.0885448,07/09/2021,,
131,UKENAN_AW_TP000016,276.9199554,08/09/2021,,
132,UKENAN_AW_TP000016,277.9336987,09/09/2021,,
133,UKENAN_AW_TP000016,278.2038407,10/09/2021,,
134,UKENAN_AW_TP000016,277.8327747,11/09/2021,,
135,UKENAN_AW_TP000016,278.0042858,12/09/2021,,
136,UKENAN_AW_TP000016,284.5003113,13/09/2021,,
137,UKENAN_AW_TP000016,283.5537353,14/09/2021,,
138,UKENAN_AW_TP000016,284.306889,15/09/2021,,
139,UKENAN_AW_TP000016,283.6858497,16/09/2021,,
140,UKENAN_AW_TP000016,281.9680515,17/09/2021,,
141,UKENAN_AW_TP000016,278.5384358,18/09/2021,,
142,UKENAN_AW_TP000016,280.4620419,19/09/2021,,
143,UKENAN_AW_TP000016,278.286253,20/09/2021,,
144,UKENAN_AW_TP000016,278.1580491,21/09/2021,,
145,UKENAN_AW_TP000016,275.8126479,22/09/2021,,
146,UKENAN_AW_TP000016,274.0939367,23/09/2021,,
147,UKENAN_AW_TP000016,280.8271111,24/09/2021,,
148,UKENAN_AW_TP000016,280.4779426,25/09/2021,,
149,UKENAN_AW_TP000016,278.3362537,26/09/2021,,
150,UKENAN_AW_TP000016,279.0733698,27/09/2021,,
151,UKENAN_AW_TP000016,281.1399314,28/09/2021,,
152,UKENAN_AW_TP000016,282.2282923,29/09/2021,,
153,UKENAN_AW_TP000016,283.1402986,30/09/2021,,
154,UKENAN_AW_TP000016,286.8573471,01/10/2021,,
155,UKENAN_AW_TP000016,286.2027866,02/10/2021,,
156,UKENAN_AW_TP000016,276.3683995,03/10/2021,,
157,UKENAN_AW_TP000016,276.2543877,04/10/2021,,
158,UKENAN_AW_TP000016,277.1055599,05/10/2021,,
159,UKENAN_AW_TP000016,281.7561771,06/10/2021,,
160,UKENAN_AW_TP000016,283.6743658,07/10/2021,,
161,UKENAN_AW_TP000016,283.1252607,08/10/2021,,
162,UKENAN_AW_TP000016,280.8297594,09/10/2021,,
163,UKENAN_AW_TP000016,278.7053736,10/10/2021,,
164,UKENAN_AW_TP000016,278.3836085,11/10/2021,,
165,UKENAN_AW_TP000016,279.5354146,12/10/2021,,
166,UKENAN_AW_TP000016,282.5151405,13/10/2021,,
167,UKENAN_AW_TP000016,285.4211411,14/10/2021,,
168,UKENAN_AW_TP000016,285.7000226,15/10/2021,,
169,UKENAN_AW_TP000016,285.2601655,16/10/2021,,
170,UKENAN_AW_TP000016,287.3992867,17/10/2021,,
171,UKENAN_AW_TP000016,285.3969466,18/10/2021,,
172,UKENAN_AW_TP000016,284.7362823,19/10/2021,,
173,UKENAN_AW_TP000016,284.0823727,20/10/2021,,
174,UKENAN_AW_TP000016,283.3392039,21/10/2021,,
175,UKENAN_AW_TP000016,283.8372915,22/10/2021,,
176,UKENAN_AW_TP000016,283.9758258,23/10/2021,,
177,UKENAN_AW_TP000016,283.2381901,24/10/2021,,
178,UKENAN_AW_TP000016,284.1393761,25/10/2021,,
179,UKENAN_AW_TP000016,283.5910634,26/10/2021,,
180,UKENAN_AW_TP000016,281.8291565,27/10/2021,,
181,UKENAN_AW_TP000016,281.3443387,28/10/2021,,
182,UKENAN_AW_TP000016,280.6010679,29/10/2021,,
183,UKENAN_AW_TP000016,281.973658,30/10/2021,,
184,UKENAN_AW_TP000016,281.1997174,31/10/2021,,
185,UKENAN_AW_TP000016,282.6894894,01/11/2021,,
186,UKENAN_AW_TP000016,288.3390153,02/11/2021,,
187,UKENAN_AW_TP000016,290.5611591,03/11/2021,,
188,UKENAN_AW_TP000016,290.8770362,04/11/2021,,
189,UKENAN_AW_TP000016,289.6420678,05/11/2021,,
190,UKENAN_AW_TP000016,288.948346,06/11/2021,,
191,UKENAN_AW_TP000016,288.6269182,07/11/2021,,
192,UKENAN_AW_TP000016,289.8325375,08/11/2021,,
193,UKENAN_AW_TP000016,290.2310371,09/11/2021,,
194,UKENAN_AW_TP000016,290.6141232,10/11/2021,,
195,UKENAN_AW_TP000016,289.309803,11/11/2021,,
196,UKENAN_AW_TP000016,289.7489312,12/11/2021,,
197,UKENAN_AW_TP000016,289.7261374,13/11/2021,,
198,UKENAN_AW_TP000016,290.1230212,14/11/2021,,
199,UKENAN_AW_TP000016,290.8124758,15/11/2021,,
200,UKENAN_AW_TP000016,290.2669455,16/11/2021,,
201,UKENAN_AW_TP000016,290.8918175,17/11/2021,,
202,UKENAN_AW_TP000016,293.0422196,18/11/2021,,
203,UKENAN_AW_TP000016,295.2299264,19/11/2021,,
204,UKENAN_AW_TP000016,295.0516637,20/11/2021,,
205,UKENAN_AW_TP000016,294.7895771,21/11/2021,,
206,UKENAN_AW_TP000016,294.7577356,22/11/2021,,
207,UKENAN_AW_TP000016,294.2655773,23/11/2021,,
208,UKENAN_AW_TP000016,292.2142588,24/11/2021,,
209,UKENAN_AW_TP000016,291.0773958,25/11/2021,,
210,UKENAN_AW_TP000016,291.7198889,26/11/2021,,
211,UKENAN_AW_TP000016,292.217304,27/11/2021,,
212,UKENAN_AW_TP000016,291.0787004,28/11/2021,,
213,UKENAN_AW_TP000016,289.8838357,29/11/2021,,
214,UKENAN_AW_TP000016,289.5352552,30/11/2021,,
215,UKENAN_AW_TP000016,288.8282558,01/12/2021,,
216,UKENAN_AW_TP000016,289.5760136,02/12/2021,,
217,UKENAN_AW_TP000016,290.0637406,03/12/2021,,
218,UKENAN_AW_TP000016,291.5961664,04/12/2021,,
219,UKENAN_AW_TP000016,291.5156197,05/12/2021,,
220,UKENAN_AW_TP000016,287.1359836,06/12/2021,,
221,UKENAN_AW_TP000016,289.3467907,07/12/2021,,
222,UKENAN_AW_TP000016,289.5314454,08/12/2021,,
223,UKENAN_AW_TP000016,290.0862717,09/12/2021,,
224,UKENAN_AW_TP000016,290.4936341,10/12/2021,,
225,UKENAN_AW_TP000016,291.1730031,11/12/2021,,
226,UKENAN_AW_TP000016,291.6961863,12/12/2021,,
227,UKENAN_AW_TP000016,291.910156,13/12/2021,,
228,UKENAN_AW_TP000016,290.6129657,14/12/2021,,
229,UKENAN_AW_TP000016,292.3401866,15/12/2021,,
230,UKENAN_AW_TP000016,292.9637201,16/12/2021,,
231,UKENAN_AW_TP000016,290.7374039,17/12/2021,,
232,UKENAN_AW_TP000016,293.8831086,18/12/2021,,
233,UKENAN_AW_TP000016,291.5630044,19/12/2021,,
234,UKENAN_AW_TP000016,285.9428815,20/12/2021,,
235,UKENAN_AW_TP000016,286.9803399,21/12/2021,,
236,UKENAN_AW_TP000016,286.2349849,22/12/2021,,
237,UKENAN_AW_TP000016,285.5152094,23/12/2021,,
238,UKENAN_AW_TP000016,285.3219053,24/12/2021,,
239,UKENAN_AW_TP000016,286.9167273,25/12/2021,,
240,UKENAN_AW_TP000016,288.5255214,26/12/2021,,
241,UKENAN_AW_TP000016,289.1064926,27/12/2021,,
242,UKENAN_AW_TP000016,289.1362976,28/12/2021,,
243,UKENAN_AW_TP000016,289.2901497,29/12/2021,,
244,UKENAN_AW_TP000016,287.5470753,30/12/2021,,
245,UKENAN_AW_TP000016,288.2693259,31/12/2021,,
246,UKENAN_AW_TP000016,287.7168935,01/01/2022,288.513108,4
247,UKENAN_AW_TP000016,282.3409638,02/01/2022,287.6295998,4
248,UKENAN_AW_TP000016,279.0169786,03/01/2022,286.1882406,4
249,UKENAN_AW_TP000016,278.6746873,04/01/2022,284.6937249,3
250,UKENAN_AW_TP000016,279.3601045,05/01/2022,283.275147,3
251,UKENAN_AW_TP000016,278.9603271,06/01/2022,282.0484687,2
252,UKENAN_AW_TP000016,283.1852722,07/01/2022,281.3221753,2
253,UKENAN_AW_TP000016,282.4665938,08/01/2022,280.5721325,2
254,UKENAN_AW_TP000016,281.4665479,09/01/2022,280.4472159,2
255,UKENAN_AW_TP000016,285.3424113,10/01/2022,281.3508492,2
256,UKENAN_AW_TP000016,284.8572568,11/01/2022,282.2340734,2
257,UKENAN_AW_TP000016,284.338484,12/01/2022,282.9452704,3
258,UKENAN_AW_TP000016,284.7294214,13/01/2022,283.7694268,3
259,UKENAN_AW_TP000016,284.6425754,14/01/2022,283.9776129,3
260,UKENAN_AW_TP000016,283.4570895,15/01/2022,284.1191123,3
261,UKENAN_AW_TP000016,281.762907,16/01/2022,284.1614493,3
262,UKENAN_AW_TP000016,281.0792518,17/01/2022,283.5524266,3
263,UKENAN_AW_TP000016,281.2472583,18/01/2022,283.0367125,3
264,UKENAN_AW_TP000016,282.7242981,19/01/2022,282.8061145,3
265,UKENAN_AW_TP000016,283.539818,20/01/2022,282.6361712,2
266,UKENAN_AW_TP000016,282.2526116,21/01/2022,282.2947478,2
267,UKENAN_AW_TP000016,278.8570769,22/01/2022,281.6376031,2
268,UKENAN_AW_TP000016,278.1049896,23/01/2022,281.1150435,2
269,UKENAN_AW_TP000016,277.1022638,24/01/2022,280.5469023,2
270,UKENAN_AW_TP000016,279.1310179,25/01/2022,280.2445823,1
271,UKENAN_AW_TP000016,276.9414128,26/01/2022,279.4184558,1
272,UKENAN_AW_TP000016,277.457383,27/01/2022,278.5495365,1
273,UKENAN_AW_TP000016,275.6074357,28/01/2022,277.6002257,1
274,UKENAN_AW_TP000016,273.487705,29/01/2022,276.8331725,1
275,UKENAN_AW_TP000016,273.9924901,30/01/2022,276.2456726,1
276,UKENAN_AW_TP000016,282.02404,31/01/2022,276.9487835,1
277,UKENAN_AW_TP000016,287.1942774,01/02/2022,278.1006777,1
278,UKENAN_AW_TP000016,284.5971394,02/02/2022,279.194353,1
279,UKENAN_AW_TP000016,285.3365186,03/02/2022,280.3199437,2
280,UKENAN_AW_TP000016,285.2978403,04/02/2022,281.7042873,2
281,UKENAN_AW_TP000016,285.2681601,05/02/2022,283.3872094,3
282,UKENAN_AW_TP000016,285.362794,06/02/2022,285.0115386,3
283,UKENAN_AW_TP000016,288.3945524,07/02/2022,285.9216118,4
284,UKENAN_AW_TP000016,288.7844965,08/02/2022,286.1487859,4
285,UKENAN_AW_TP000016,285.661204,09/02/2022,286.3007951,4
286,UKENAN_AW_TP000016,286.5941251,10/02/2022,286.4804532,4
287,UKENAN_AW_TP000016,284.2501789,11/02/2022,286.3307873,4
288,UKENAN_AW_TP000016,284.6339044,12/02/2022,286.2401793,4
289,UKENAN_AW_TP000016,285.571618,13/02/2022,286.2700113,4
290,UKENAN_AW_TP000016,285.5177269,14/02/2022,285.8590362,4
291,UKENAN_AW_TP000016,284.2473607,15/02/2022,285.210874,3
292,UKENAN_AW_TP000016,284.0468343,16/02/2022,284.9802497,3
293,UKENAN_AW_TP000016,285.4675492,17/02/2022,284.8193103,3
294,UKENAN_AW_TP000016,286.7208017,18/02/2022,285.1722564,3
295,UKENAN_AW_TP000016,290.0077262,19/02/2022,285.9399453,4
296,UKENAN_AW_TP000016,287.1080178,20/02/2022,286.159431,4
297,UKENAN_AW_TP000016,281.7129771,21/02/2022,285.6158953,4
298,UKENAN_AW_TP000016,281.9661539,22/02/2022,285.2900086,3
299,UKENAN_AW_TP000016,282.70951,23/02/2022,285.0989623,3
300,UKENAN_AW_TP000016,285.0131482,24/02/2022,285.0340478,3
301,UKENAN_AW_TP000016,284.5752481,25/02/2022,284.7275402,3
302,UKENAN_AW_TP000016,285.1840844,26/02/2022,284.0384485,3
303,UKENAN_AW_TP000016,287.7219323,27/02/2022,284.1261506,3
304,UKENAN_AW_TP000016,286.8866645,28/02/2022,284.8652488,3
305,UKENAN_AW_TP000016,285.6292657,01/03/2022,285.3885504,3
306,UKENAN_AW_TP000016,283.6621378,02/03/2022,285.5246401,4
307,UKENAN_AW_TP000016,283.9478406,03/03/2022,285.3724533,3
308,UKENAN_AW_TP000016,288.0458111,04/03/2022,285.868248,4
309,UKENAN_AW_TP000016,288.5490326,05/03/2022,286.3489549,4
310,UKENAN_AW_TP000016,289.7946557,06/03/2022,286.6450583,4
311,UKENAN_AW_TP000016,289.1483896,07/03/2022,286.9681619,4
312,UKENAN_AW_TP000016,290.671359,08/03/2022,287.6884609,4
313,UKENAN_AW_TP000016,292.5742128,09/03/2022,288.9616145,5
314,UKENAN_AW_TP000016,294.1494113,10/03/2022,290.4189817,5
315,UKENAN_AW_TP000016,294.1987531,11/03/2022,291.2979735,5
316,UKENAN_AW_TP000016,292.0540032,12/03/2022,291.7986835,5
317,UKENAN_AW_TP000016,291.8756864,13/03/2022,292.0959736,5
318,UKENAN_AW_TP000016,291.1805918,14/03/2022,292.3862882,5
