"X","site_code","dailytemp","date","X.1","X.2","temp_rolling_7day","weekday"
3,"UKENAN_AW_TP000016",280.7318632,"2021-05-03",NA,NA,NA,"Mon"
10,"UKENAN_AW_TP000016",283.6782214,"2021-05-10",NA,NA,280.866450385714,"Mon"
17,"UKENAN_AW_TP000016",280.4830288,"2021-05-17",NA,NA,280.781507671429,"Mon"
24,"UKENAN_AW_TP000016",283.0380058,"2021-05-24",NA,NA,282.415466471429,"Mon"
31,"UKENAN_AW_TP000016",275.7608729,"2021-05-31",NA,NA,281.141035314286,"Mon"
38,"UKENAN_AW_TP000016",276.1930771,"2021-06-07",NA,NA,276.610420371429,"Mon"
45,"UKENAN_AW_TP000016",273.9106848,"2021-06-14",NA,NA,276.351268928571,"Mon"
52,"UKENAN_AW_TP000016",274.5599624,"2021-06-21",NA,NA,276.006092271429,"Mon"
59,"UKENAN_AW_TP000016",278.5982732,"2021-06-28",NA,NA,278.609130314286,"Mon"
66,"UKENAN_AW_TP000016",289.916043,"2021-07-05",NA,NA,289.231427785714,"Mon"
73,"UKENAN_AW_TP000016",290.6547966,"2021-07-12",NA,NA,290.240632957143,"Mon"
80,"UKENAN_AW_TP000016",290.1107337,"2021-07-19",NA,NA,289.8999172,"Mon"
87,"UKENAN_AW_TP000016",289.1467552,"2021-07-26",NA,NA,289.0210981,"Mon"
94,"UKENAN_AW_TP000016",279.3085281,"2021-08-02",NA,NA,283.576470371429,"Mon"
101,"UKENAN_AW_TP000016",283.6276807,"2021-08-09",NA,NA,282.963479085714,"Mon"
108,"UKENAN_AW_TP000016",283.7678519,"2021-08-16",NA,NA,283.678623214286,"Mon"
115,"UKENAN_AW_TP000016",283.2269423,"2021-08-23",NA,NA,283.227452071429,"Mon"
122,"UKENAN_AW_TP000016",287.1481209,"2021-08-30",NA,NA,285.105771028571,"Mon"
129,"UKENAN_AW_TP000016",277.6888877,"2021-09-06",NA,NA,277.110181085714,"Mon"
136,"UKENAN_AW_TP000016",284.5003113,"2021-09-13",NA,NA,281.441098071429,"Mon"
143,"UKENAN_AW_TP000016",278.286253,"2021-09-20",NA,NA,278.188487985714,"Mon"
150,"UKENAN_AW_TP000016",279.0733698,"2021-09-27",NA,NA,280.746171357143,"Mon"
157,"UKENAN_AW_TP000016",276.2543877,"2021-10-04",NA,NA,281.174146242857,"Mon"
164,"UKENAN_AW_TP000016",278.3836085,"2021-10-11",NA,NA,281.216528342857,"Mon"
171,"UKENAN_AW_TP000016",285.3969466,"2021-10-18",NA,NA,285.130611471429,"Mon"
