"site_code","one_week_date","pop_weighted_mobility"
"UKENAN_AW_TP000016",2021-04-26,-7.00126625182051
"UKENAN_AW_TP000016",2021-05-03,-26.9831476722173
"UKENAN_AW_TP000016",2021-05-10,-20.5405948968655
"UKENAN_AW_TP000016",2021-05-17,-18.6945892650299
"UKENAN_AW_TP000016",2021-05-24,-19.5219604974399
"UKENAN_AW_TP000016",2021-05-31,-32.1329954884646
"UKENAN_AW_TP000016",2021-06-07,-16.2515299889499
"UKENAN_AW_TP000016",2021-06-14,-17.5333871517347
"UKENAN_AW_TP000016",2021-06-21,-16.4200845618697
"UKENAN_AW_TP000016",2021-06-28,-17.4090196938094
"UKENAN_AW_TP000016",2021-07-05,-17.5479473564901
"UKENAN_AW_TP000016",2021-07-12,-19.4088749793156
"UKENAN_AW_TP000016",2021-07-19,-21.991657847792
"UKENAN_AW_TP000016",2021-07-26,-27.9532313329907
"UKENAN_AW_TP000016",2021-08-02,-28.6641664250751
"UKENAN_AW_TP000016",2021-08-09,-28.3820198333028
"UKENAN_AW_TP000016",2021-08-16,-27.6787266298305
"UKENAN_AW_TP000016",2021-08-23,-28.2461533638358
"UKENAN_AW_TP000016",2021-08-30,-30.1986156266401
"UKENAN_AW_TP000016",2021-09-06,-21.0414153507682
"UKENAN_AW_TP000016",2021-09-13,-21.4817752198688
"UKENAN_AW_TP000016",2021-09-20,-19.7745525362201
"UKENAN_AW_TP000016",2021-09-27,-20.0863260382315
"UKENAN_AW_TP000016",2021-10-04,-19.6498956493073
"UKENAN_AW_TP000016",2021-10-11,-17.943685967115
"UKENAN_AW_TP000016",2021-10-18,-18.9543890489409
"UKENAN_AW_TP000016",2021-10-25,-27.1257153860869
"UKENAN_AW_TP000016",2021-11-01,-17.950748997752
"UKENAN_AW_TP000016",2021-11-08,-18.2211071489952
"UKENAN_AW_TP000016",2021-11-15,-17.7996711083077
"UKENAN_AW_TP000016",2021-11-22,-17.3998583030126
"UKENAN_AW_TP000016",2021-11-29,-17.4146355795087
"UKENAN_AW_TP000016",2021-12-06,-15.9648750590261
"UKENAN_AW_TP000016",2021-12-13,-16.9977802342196
"UKENAN_AW_TP000016",2021-12-20,-46.3962182518238
"UKENAN_AW_TP000016",2021-12-27,-57.8408192189329
"UKENAN_AW_TP000016",2022-01-03,-29.2058233717709
"UKENAN_AW_TP000016",2022-01-10,-18.6616117325896
"UKENAN_AW_TP000016",2022-01-17,-19.0647751600859
"UKENAN_AW_TP000016",2022-01-24,-18.0904002329016
"UKENAN_AW_TP000016",2022-01-31,-16.8011182532454
"UKENAN_AW_TP000016",2022-02-07,-16.397954825749
"UKENAN_AW_TP000016",2022-02-14,-27.0836488200967
"UKENAN_AW_TP000016",2022-02-21,-16.5065098168774
"UKENAN_AW_TP000016",2022-02-28,-17.0789735786069
"UKENAN_AW_TP000016",2022-03-07,-16.3900235081494
"UKENAN_AW_TP000016",2022-03-14,-17.5147527523091
"UKENAN_AW_TP000016",2022-03-21,-17.9357546495153
"UKENAN_AW_TP000016",2022-03-28,-17.6573204661787
"UKENAN_AW_TP000016",2022-04-04,-23.402557709992
"UKENAN_AW_TP000016",2022-04-11,-33.686151446702
"UKENAN_AW_TP000016",2022-04-18,-23.5451755922639
"UKENAN_AW_TP000016",2022-04-25,-17.5489932435338
"UKENAN_AW_TP000023",2021-04-26,-3.9490607388097
"UKENAN_AW_TP000023",2021-05-03,-13.1206534024368
"UKENAN_AW_TP000023",2021-05-10,-4.9624699703651
"UKENAN_AW_TP000023",2021-05-17,-3.093684865132
"UKENAN_AW_TP000023",2021-05-24,-1.95593985738105
"UKENAN_AW_TP000023",2021-05-31,-14.5464799201884
"UKENAN_AW_TP000023",2021-06-07,1.0403710434426
"UKENAN_AW_TP000023",2021-06-14,-1.51355622046068
"UKENAN_AW_TP000023",2021-06-21,-2.07337289211095
"UKENAN_AW_TP000023",2021-06-28,-4.7715398703853
"UKENAN_AW_TP000023",2021-07-05,-2.78184001137754
"UKENAN_AW_TP000023",2021-07-12,-5.35320788618223
"UKENAN_AW_TP000023",2021-07-19,-8.62729003991025
"UKENAN_AW_TP000023",2021-07-26,-13.3387853209082
"UKENAN_AW_TP000023",2021-08-02,-14.3366153606495
"UKENAN_AW_TP000023",2021-08-09,-16.0464094128581
"UKENAN_AW_TP000023",2021-08-16,-14.3387347403883
"UKENAN_AW_TP000023",2021-08-23,-15.1870662471446
"UKENAN_AW_TP000023",2021-08-30,-15.1820097506103
"UKENAN_AW_TP000023",2021-09-06,-6.03685619619471
"UKENAN_AW_TP000023",2021-09-13,-6.0551297183088
"UKENAN_AW_TP000023",2021-09-20,-5.47927523947901
"UKENAN_AW_TP000023",2021-09-27,-6.49747794886524
"UKENAN_AW_TP000023",2021-10-04,-5.78609900306309
"UKENAN_AW_TP000023",2021-10-11,-5.36045457518319
"UKENAN_AW_TP000023",2021-10-18,-9.06887617198187
"UKENAN_AW_TP000023",2021-10-25,-15.7949457598135
"UKENAN_AW_TP000023",2021-11-01,-7.66275127032626
"UKENAN_AW_TP000023",2021-11-08,-4.25464861438756
"UKENAN_AW_TP000023",2021-11-15,-4.97396047689564
"UKENAN_AW_TP000023",2021-11-22,-5.41782784636973
"UKENAN_AW_TP000023",2021-11-29,-5.12922196632785
"UKENAN_AW_TP000023",2021-12-06,-1.42735071472118
"UKENAN_AW_TP000023",2021-12-13,0.85463906545283
"UKENAN_AW_TP000023",2021-12-20,-29.7306826431565
"UKENAN_AW_TP000023",2021-12-27,-41.0223015107738
"UKENAN_AW_TP000023",2022-01-03,-11.3078438227204
"UKENAN_AW_TP000023",2022-01-10,-3.14596117536832
"UKENAN_AW_TP000023",2022-01-17,-2.85590191108465
"UKENAN_AW_TP000023",2022-01-24,-3.28077918242774
"UKENAN_AW_TP000023",2022-01-31,-1.14599658173224
"UKENAN_AW_TP000023",2022-02-07,-3.13791192346661
"UKENAN_AW_TP000023",2022-02-14,-12.2947330162324
"UKENAN_AW_TP000023",2022-02-21,-2.13207815429152
"UKENAN_AW_TP000023",2022-02-28,-0.424403481821691
"UKENAN_AW_TP000023",2022-03-07,-0.560745685850754
"UKENAN_AW_TP000023",2022-03-14,-0.273638712518563
"UKENAN_AW_TP000023",2022-03-21,-1.83119943702631
"UKENAN_AW_TP000023",2022-03-28,-2.2611837854236
"UKENAN_AW_TP000023",2022-04-04,-7.12060787996893
"UKENAN_AW_TP000023",2022-04-11,-15.3962142306666
"UKENAN_AW_TP000023",2022-04-18,-6.67169413006452
"UKENAN_AW_TP000023",2022-04-25,2.36278235463154
"UKENAN_AW_TP000037",2021-04-26,-14.3107378705141
"UKENAN_AW_TP000037",2021-05-03,-28.9651966224261
"UKENAN_AW_TP000037",2021-05-10,-20.8006863483321
"UKENAN_AW_TP000037",2021-05-17,-19.6410463071929
"UKENAN_AW_TP000037",2021-05-24,-19.7236488271329
"UKENAN_AW_TP000037",2021-05-31,-34.1426783685365
"UKENAN_AW_TP000037",2021-06-07,-17.2194288492386
"UKENAN_AW_TP000037",2021-06-14,-18.3954225131091
"UKENAN_AW_TP000037",2021-06-21,-19.1210420868189
"UKENAN_AW_TP000037",2021-06-28,-20.3391291309444
"UKENAN_AW_TP000037",2021-07-05,-19.1141317209303
"UKENAN_AW_TP000037",2021-07-12,-21.3322527184214
"UKENAN_AW_TP000037",2021-07-19,-26.1389836496594
"UKENAN_AW_TP000037",2021-07-26,-29.7369342983079
"UKENAN_AW_TP000037",2021-08-02,-30.4870326249118
"UKENAN_AW_TP000037",2021-08-09,-29.3610015128436
"UKENAN_AW_TP000037",2021-08-16,-28.6483041630844
"UKENAN_AW_TP000037",2021-08-23,-28.5038236706078
"UKENAN_AW_TP000037",2021-08-30,-29.6883272261527
"UKENAN_AW_TP000037",2021-09-06,-19.8083377999534
"UKENAN_AW_TP000037",2021-09-13,-21.7691942915387
"UKENAN_AW_TP000037",2021-09-20,-20.8479091092631
"UKENAN_AW_TP000037",2021-09-27,-22.6448084292984
"UKENAN_AW_TP000037",2021-10-04,-21.0123934455772
"UKENAN_AW_TP000037",2021-10-11,-20.4571510557675
"UKENAN_AW_TP000037",2021-10-18,-22.381053857563
"UKENAN_AW_TP000037",2021-10-25,-29.0118066973986
"UKENAN_AW_TP000037",2021-11-01,-20.4545972609115
"UKENAN_AW_TP000037",2021-11-08,-19.2769455438893
"UKENAN_AW_TP000037",2021-11-15,-19.599024945142
"UKENAN_AW_TP000037",2021-11-22,-19.8468471518971
"UKENAN_AW_TP000037",2021-11-29,-19.7828424993989
"UKENAN_AW_TP000037",2021-12-06,-18.0169919593817
"UKENAN_AW_TP000037",2021-12-13,-18.4871453346899
"UKENAN_AW_TP000037",2021-12-20,-46.2957383683347
"UKENAN_AW_TP000037",2021-12-27,-60.4886791142956
"UKENAN_AW_TP000037",2022-01-03,-29.6918004412337
"UKENAN_AW_TP000037",2022-01-10,-20.0183735719785
"UKENAN_AW_TP000037",2022-01-17,-20.0905036457205
"UKENAN_AW_TP000037",2022-01-24,-20.3655253327278
"UKENAN_AW_TP000037",2022-01-31,-19.3044487124154
"UKENAN_AW_TP000037",2022-02-07,-19.3110939002456
"UKENAN_AW_TP000037",2022-02-14,-27.9371633833349
