"site_code","date","weighted_mobility"
"UKENAN_AW_TP000016","2021-05-03",0
"UKENAN_AW_TP000016","2021-05-10",-20.686802661924
"UKENAN_AW_TP000016","2021-05-17",-19.2696578876473
"UKENAN_AW_TP000016","2021-05-24",-18.8264538970736
"UKENAN_AW_TP000016","2021-05-31",-31.8180884359926
"UKENAN_AW_TP000016","2021-06-07",-18.6872368054053
"UKENAN_AW_TP000016","2021-06-14",-16.8117489778244
"UKENAN_AW_TP000016","2021-06-21",-16.9769529285429
"UKENAN_AW_TP000016","2021-06-28",-17.1342255616616
"UKENAN_AW_TP000016","2021-07-05",-17.6981569589718
"UKENAN_AW_TP000016","2021-07-12",-18.5369548456767
"UKENAN_AW_TP000016","2021-07-19",-20.9882348683438
"UKENAN_AW_TP000016","2021-07-26",-26.4116467435418
"UKENAN_AW_TP000016","2021-08-02",-28.5173798020416
"UKENAN_AW_TP000016","2021-08-09",-28.5212369249711
"UKENAN_AW_TP000016","2021-08-16",-28.5210922104773
"UKENAN_AW_TP000016","2021-08-23",-27.1222200493918
"UKENAN_AW_TP000016","2021-08-30",-32.2238789132214
"UKENAN_AW_TP000016","2021-09-06",-20.8952799429566
"UKENAN_AW_TP000016","2021-09-13",-20.9059830247825
"UKENAN_AW_TP000016","2021-09-20",-20.7600646887116
"UKENAN_AW_TP000016","2021-09-27",-19.6576822524132
"UKENAN_AW_TP000016","2021-10-04",-19.6575375379194
"UKENAN_AW_TP000016","2021-10-11",-18.9284021898907
"UKENAN_AW_TP000016","2021-10-18",-18.236680355207
"UKENAN_AW_TP000016","2021-10-25",-25.8179437214988
"UKENAN_AW_TP000016","2021-11-01",-19.5515150504321
"UKENAN_AW_TP000016","2021-11-08",-17.6648176402971
"UKENAN_AW_TP000016","2021-11-15",-18.2137546893706
"UKENAN_AW_TP000016","2021-11-22",-17.8104465473805
"UKENAN_AW_TP000016","2021-11-29",-17.5462831398117
"UKENAN_AW_TP000016","2021-12-06",-16.8435687943145
"UKENAN_AW_TP000016","2021-12-13",-17.1188694271905
"UKENAN_AW_TP000016","2021-12-20",-26.5605539155796
"UKENAN_AW_TP000016","2021-12-27",-62.5633980370527
"UKENAN_AW_TP000016","2022-01-03",-41.6668658320544
"UKENAN_AW_TP000016","2022-01-10",-20.6169904741138
"UKENAN_AW_TP000016","2022-01-17",-18.3759698041222
"UKENAN_AW_TP000016","2022-01-24",-18.6362760887614
"UKENAN_AW_TP000016","2022-01-31",-17.2368250697007
"UKENAN_AW_TP000016","2022-02-07",-16.3763315903566
"UKENAN_AW_TP000016","2022-02-14",-23.1025002912629
"UKENAN_AW_TP000016","2022-02-21",-20.7943446515959
"UKENAN_AW_TP000016","2022-02-28",-15.9408418456419
"UKENAN_AW_TP000016","2022-03-07",-16.935971721256
"UKENAN_AW_TP000016","2022-03-14",-16.2546635394106
"UKENAN_AW_TP000016","2022-03-21",-17.7931145783988
"UKENAN_AW_TP000016","2022-03-28",-18.4923335872009
"UKENAN_AW_TP000016","2022-04-04",-22.9556413109825
"UKENAN_AW_TP000016","2022-04-11",-23.8472088455034
"UKENAN_AW_TP000016","2022-04-18",-34.6873091626522
"UKENAN_AW_TP000016","2022-04-25",-14.6654688555191
"UKENAN_AW_TP000023","2021-05-03",0
"UKENAN_AW_TP000023","2021-05-10",-5.96612366317752
"UKENAN_AW_TP000023","2021-05-17",-3.24892106430425
"UKENAN_AW_TP000023","2021-05-24",-2.6709269735277
"UKENAN_AW_TP000023","2021-05-31",-13.1207899698406
"UKENAN_AW_TP000023","2021-06-07",-1.96033035841834
"UKENAN_AW_TP000023","2021-06-14",0.469684338290894
"UKENAN_AW_TP000023","2021-06-21",-2.07627460254253
"UKENAN_AW_TP000023","2021-06-28",-3.92026618878147
"UKENAN_AW_TP000023","2021-07-05",-4.06386519791547
"UKENAN_AW_TP000023","2021-07-12",-3.64115282877909
"UKENAN_AW_TP000023","2021-07-19",-7.48880822393443
"UKENAN_AW_TP000023","2021-07-26",-13.3416061025079
"UKENAN_AW_TP000023","2021-08-02",-13.4802295439394
"UKENAN_AW_TP000023","2021-08-09",-14.908735217835
"UKENAN_AW_TP000023","2021-08-16",-15.6178430423387
