"site_code","one_week_date","Log10_NoV_norm","Easting","Northing","weighted_carehome_density","weighted_school_density","weighted_prop_non_white","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","lockdown_NA","pop_weighted_mobility","weighted_imd_score","weighted_imd_rank"
"UKENAN_AW_TP000016",2021-05-24,NA,508487,249332,45.6378704729982,76.5611432807784,0.285790427438178,0.451289326046554,0,0,0,0,1,-19.5219604974399,18.3243945515468,12372.691125402
"UKENAN_AW_TP000023",2021-05-24,NA,535699,340996,22.6120576473583,83.961991804697,0.0633826874716469,0.44278028316764,0,0,0,0,1,-1.95593985738105,18.4197431588764,9646.52003489243
"UKENAN_AW_TP000037",2021-05-24,NA,493847,268578,46.1211342748525,102.14678124357,0.130760913096018,0.469652264104324,0,0,0,0,1,-19.7236488271329,19.1462177179421,15113.8098253374
"UKENAN_AW_TP000050",2021-05-24,NA,547187,261751,14.6744171279478,65.0998724029525,0.239571149428471,0.535729004445361,0,0,0,0,1,-31.1410959748982,11.2434136431397,14865.280803064
"UKENAN_AW_TP000051",2021-05-24,NA,502806,226864,18.1453508335881,67.2920499179938,0.542072957339959,0.608235937315321,0,0,0,0,1,-15.1762798758343,23.9750189294252,11857.4831929867
"UKENAN_AW_TP000055",2021-05-24,NA,573806,206725,12.7405888171877,77.7176883225606,0.139765582229655,0.435855357573084,0,0,0,0,1,-23.9843361688116,11.3906665010068,20610.1562466853
"UKENAN_AW_TP000063",2021-05-24,NA,602226,223615,34.0513086506166,65.9544160607944,0.158600042328549,0.612357017693693,0,0,0,0,1,-27.4106535607196,14.9651284265701,13983.2310650717
"UKENAN_AW_TP000069",2021-05-24,NA,488411,240500,15.4534364892267,76.1304035391301,0.305273650759882,0.525628928221041,0,0,0,0,1,-24.1381134543105,17.3408471931989,15206.2320421781
"UKENAN_AW_TP000082",2021-05-24,NA,560459,304206,36.2129416061081,57.6431751697766,0.0412530235959829,0.272486923741571,0,0,0,0,1,-6.61270286098077,12.6477286977577,8184.59165620097
"UKENAN_AW_TP000107",2021-05-24,NA,481616,261993,31.4981550270299,76.5205692286566,0.202039383496,0.417050818148881,0,0,0,0,1,-24.4951406290743,21.6183434259525,14178.8699773285
