"site_code","date_index","one_week_date","Log10_NoV_norm","Easting","Northing","carehome_density","school_density","BAME","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","mobility","imd_score","rain_rolling_7day","temp_rolling_7day","nov_3week"
"UKENAN_AW_TP000016",1,"24/05/2021",NA,508487,249332,45.63787047,76.56114328,0.285790427,0.451289326,0,1,0,0,-18.8264539,18.32439455,1.24686142857143e-05,282.4154665,NA
"UKENAN_AW_TP000023",1,"24/05/2021",NA,535699,340996,22.61205765,83.9619918,0.063382687,0.442780283,0,1,0,0,-2.670926974,18.41974316,4.72261428571426e-06,281.988577,NA
"UKENAN_AW_TP000037",1,"24/05/2021",NA,493847,268578,46.12113427,102.1467812,0.130760913,0.469652264,0,1,0,0,-19.17766143,19.14621772,1.33637571428573e-05,282.2294842,NA
"UKENAN_AW_TP000050",1,"24/05/2021",NA,547187,261751,14.67441713,65.0998724,0.239571149,0.535729004,0,1,0,0,-33.42467813,11.24341364,1.04257571428573e-05,282.3063092,NA
"UKENAN_AW_TP000051",1,"24/05/2021",NA,502806,226864,18.14535083,67.29204992,0.542072957,0.608235937,0,1,0,0,-14.79075226,23.97501893,2.99338999999999e-05,282.2689999,NA
"UKENAN_AW_TP000055",1,"24/05/2021",NA,573806,206725,12.74058882,77.71768832,0.139765582,0.435855358,0,1,0,0,-25.68298012,11.3906665,6.03247142857152e-06,282.2018865,NA
"UKENAN_AW_TP000063",1,"24/05/2021",NA,602226,223615,34.05130865,65.95441606,0.158600042,0.612357018,0,1,0,0,-26.70867726,14.96512843,1.89539e-05,282.1830236,NA
"UKENAN_AW_TP000069",1,"24/05/2021",NA,488411,240500,15.45343649,76.13040354,0.305273651,0.525628928,0,1,0,0,-24.53863528,17.34084719,1.70734714285715e-05,282.4437819,NA
"UKENAN_AW_TP000082",1,"24/05/2021",NA,560459,304206,36.21294161,57.64317517,0.041253024,0.272486924,0,1,0,0,-8.175134829,12.6477287,2.06746142857144e-05,282.0992052,NA
"UKENAN_AW_TP000107",1,"24/05/2021",NA,481616,261993,31.49815503,76.52056923,0.202039383,0.417050818,0,1,0,0,-23.34980899,21.61834343,1.55496142857143e-05,282.3188119,NA
"UKENAN_AW_TP000115",1,"24/05/2021",NA,651859,311135,32.33836004,88.76567746,0.061750419,0.421688203,0,1,0,0,-17.2505765,36.38426429,2.26144142857141e-05,281.2072923,NA
"UKENAN_AW_TP000116",1,"24/05/2021",NA,526212,410959,31.9885858,112.6653252,0.042778563,0.358140253,0,1,0,0,-13.1299313,34.02040488,8.6606285714286e-06,281.6620225,NA
"UKENAN_AW_TP000144",1,"24/05/2021",NA,617466,241968,17.97323439,72.82368322,0.150367322,0.577459918,0,1,0,0,-23.320964,22.38813909,1.58453285714285e-05,282.0373568,NA
"UKENAN_AW_TP000148",1,"24/05/2021",NA,614064,214273,58.93404344,70.75299363,0.044758141,0.615104284,0,1,0,0,-16.85714286,48.06123054,2.26810428571429e-05,282.1275313,NA
"UKENAN_AW_TP000154",1,"24/05/2021",NA,560275,322372,27.64497595,104.3875734,0.078896291,0.309586587,0,1,0,0,-8.143512777,26.29407357,2.41504857142856e-05,281.9510471,NA
"UKENAN_AW_TP000161",1,"24/05/2021",NA,499884,370410,28.62810223,84.00575171,0.075070962,0.457699687,0,1,0,0,-14.51823082,23.87582972,8.83618571428585e-06,282.05609,NA
"UKENAN_AW_TP000170",1,"24/05/2021",NA,653429,297861,33.34557169,84.17819043,0.032604228,0.598076701,0,1,0,0,-16.16449109,31.33795197,1.97556142857142e-05,281.2646837,NA
"UKENAN_AW_TP000200",1,"24/05/2021",NA,627841,307418,26.920842,82.05283526,0.100182769,0.50101945,0,1,0,0,-20.74297899,20.44192056,1.66683285714284e-05,281.5560503,NA
"UKENAN_AW_TP000210",1,"24/05/2021",NA,521980,298342,18.38256274,78.84396117,0.252795595,0.412568134,0,1,0,0,-17.72539698,25.00839697,4.32061428571425e-06,282.2795393,NA
"UKENAN_AW_TP000293",1,"24/05/2021",NA,545869,314163,21.97797277,114.6164594,0.03949554,0.158708474,0,1,0,0,-15.56656996,31.67848747,1.39246142857143e-05,282.1150039,NA
"UKENAN_AW_TP000303",1,"24/05/2021",NA,573699,190651,15.73206641,82.0684527,0.15687991,0.51126442,0,1,0,0,-22.61188375,26.99593904,6.05389999999993e-06,282.4636957,NA
"UKENAN_AW_TP000307",1,"24/05/2021",NA,587999,187601,41.56452959,74.82617199,0.120586396,0.67156331,0,1,0,0,-25.53407493,20.80071851,1.51553285714285e-05,282.6347249,NA
"UKENAN_AW_TP000308",1,"24/05/2021",NA,565353,175767,18.31969555,73.94341845,0.248688563,0.356055849,0,1,0,0,-23.8705763,20.20759936,1.69881857142858e-05,282.6291417,NA
"UKENMI_ST_TP000018",1,"24/05/2021",NA,389999,301651,27.69265998,93.31342415,0.453468539,0.809827642,0,1,0,0,-19.66896368,32.77506914,8.17170428571428e-05,282.2473434,NA
"UKENMI_ST_TP000036",1,"24/05/2021",NA,395499,322271,20.28596632,90.33221484,0.094489334,0.756142584,0,1,0,0,-17.27332614,15.48175127,6.58899000000001e-05,282.2287443,NA
"UKENMI_ST_TP000056",1,"24/05/2021",NA,426849,325511,37.87951795,69.6147878,0.189702336,0.609457963,0,1,0,0,-20.41982453,22.36936924,3.92588999999999e-05,282.4050345,NA
"UKENMI_ST_TP000060",1,"24/05/2021",NA,370979,301401,16.17136515,92.96884927,0.109037124,0.593580794,0,1,0,0,-5.32857916,33.63402921,6.53250428571429e-05,282.2491083,NA
"UKENMI_ST_TP000062",1,"24/05/2021",NA,419379,291391,25.44194012,80.86253104,0.279113689,0.764340381,0,1,0,0,-20.7627766,33.48915907,5.21586142857142e-05,282.3284075,NA
"UKENMI_ST_TP000068",1,"24/05/2021",NA,433599,273701,20.08644881,81.27678916,0.32835739,0.686185216,0,1,0,0,-30.47787533,22.88142864,4.23256142857142e-05,282.5296796,NA
"UKENMI_ST_TP000074",1,"24/05/2021",NA,439359,334491,26.5439936,84.44360893,0.265382349,0.697851396,0,1,0,0,-24.01295291,26.00331414,2.13061857142856e-05,282.4564372,NA
"UKENMI_ST_TP000099",1,"24/05/2021",NA,380829,216121,37.75378364,76.76092957,0.146457353,0.777991378,0,1,0,0,-26.63468351,19.2770059,1.27196142857144e-05,282.5753001,NA
"UKENMI_ST_TP000100",1,"24/05/2021",NA,402189,301921,24.58189221,74.54533577,0.101197532,0.736690835,0,1,0,0,-14.6568447,27.79143129,9.31733285714287e-05,282.2380344,NA
"UKENMI_ST_TP000120",1,"24/05/2021",NA,382559,273751,42.80642602,113.3826078,0.045531848,0.784991153,0,1,0,0,-18.41333674,21.21502751,3.68918999999999e-05,282.1415296,NA
"UKENMI_ST_TP000137",1,"24/05/2021",NA,453099,321301,23.02902524,89.1323871,0.232123889,0.780747525,0,1,0,0,-26.66510525,16.31667635,2.0099757142857e-05,282.3428864,NA
"UKENMI_ST_TP000143",1,"24/05/2021",NA,454829,362421,37.01791612,111.4440314,0.057636341,0.865019712,0,1,0,0,-9.147185944,27.11781991,1.52944714285714e-05,281.950334,NA
"UKENMI_ST_TP000156",1,"24/05/2021",3.116048427,416499,292356,23.15393084,79.82544548,0.505334449,0.81418656,0,1,0,0,-21.64447836,34.51764515,5.72037571428572e-05,282.1731206,3.116048427
"UKENMI_ST_TP000163",1,"24/05/2021",NA,464729,342221,28.27584543,85.52683583,0.27076085,0.750149967,0,1,0,0,-26.27445951,26.61473169,1.61759e-05,282.1195373,NA
"UKENMI_ST_TP000164",1,"24/05/2021",NA,433479,295881,28.83707718,85.05225586,0.144513656,0.849140815,0,1,0,0,-11.96588197,21.84931771,4.10331857142857e-05,282.4010337,NA
"UKENMI_ST_TP000180",1,"24/05/2021",3.791614865,387079,283821,30.36242433,60.26653227,0.134517971,0.793096634,0,1,0,0,-20.91336679,23.27839976,6.01114714285714e-05,282.1458219,3.791614865
"UKENMI_ST_TP000182",1,"24/05/2021",NA,449419,276351,31.11038588,84.88878384,0.159309719,0.66357527,0,1,0,0,-19.01131649,13.40961034,3.0566757142857e-05,282.3129742,NA
"UKENMI_ST_TP000184",1,"24/05/2021",NA,361299,313701,19.36051848,83.34458742,0.146895087,0.642414434,0,1,0,0,-4.186617649,21.29450982,6.25916142857142e-05,282.3513761,NA
"UKENMI_ST_TP000186",1,"24/05/2021",NA,487449,405991,23.87223826,87.77239449,0.098029807,0.566019949,0,1,0,0,-14.42840891,27.76673718,1.56738999999999e-05,282.0969068,NA
"UKENMI_ST_TP000199",1,"24/05/2021",NA,408459,262631,10.80261936,93.15851398,0.112988148,0.641652822,0,1,0,0,-27.27972716,25.17995281,3.52601857142857e-05,282.3639723,NA
"UKENMI_ST_TP000207",1,"24/05/2021",NA,387819,339051,33.58413389,99.83288142,0.162642919,0.745100282,0,1,0,0,-17.9430694,30.25986529,2.89076142857143e-05,282.244014,NA
"UKENMI_ST_TP000208",1,"24/05/2021",NA,378889,204891,40.49691626,94.09822892,0.041111923,0.67220826,0,1,0,0,-19.21618693,11.16219394,6.6076142857143e-06,282.4037412,NA
"UKENMI_ST_TP000222",1,"24/05/2021",NA,459849,311851,26.99785375,64.98088126,0.511242664,0.74366312,0,1,0,0,-21.10798385,24.82584562,1.93569e-05,282.3056917,NA
"UKENMI_ST_TP000225",1,"24/05/2021",NA,427569,262891,32.14149949,67.60618569,0.18714589,0.740567288,0,1,0,0,-29.08482261,13.7782833,2.76400428571427e-05,282.520947,NA
