"","X.3","X.2","site_code","week","X.1","X","sample_id","sample_collection_date_time","Week_date","ammonia_mg_l","ophosph_mg_l","GI_ND","GI_lower_LOQ","GII_ND","GII_lower_LOQ","GI_per_litre","GII_per_litre","Log10_GI","Log10_GII","Log10_NoV","Log10_GI_norm","Log10_GII_norm","Log10_NoV_norm","site_name","site_type","water_company_name","catchment_population_ons_mid_2019","grab_compo_ind","Easting","Northing","region","collection_date","week_beginning","avg_Log10_NoV","date","imd","bame","school_den","carehome_den","prop_agri","prop_urb","mob_7day","temp_2","temp_3","temp_1","temp_4","temp_5","rain_1","rain_2","rain_3","rain_4","rain_5","lockdown_NA","lockdown_step3","lockdown_step4","lockdown_planB","lockdown_lifting","lockdown_planA","scale_school_den","scale_carehome_den","scale_imd","scale_bame","scale_mob_7day","scale_prop_agri","scale_prop_urb"
"1",1,1,"UKENAN_AW_TP000016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.5157478644154,0.235955303850596,82.6397106949008,46.9393556747036,0.146223724952025,0.451289326046554,-21.6600560369621,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.220018074868629,1.48038367050859,-0.736070073426273,0.840718766099809,0.258304743356506,0.0686964820495291,-0.990888788447189
"2",2,2,"UKENAN_AW_TP000023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,22.9313483815164,0.0482356843490469,96.9855832241153,28.8335517693316,0,0.44278028316764,-3.28571428571429,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.861509699824963,0.0723578209866607,-0.01990296179391,-0.778079584388973,2.2307419155709,-1.06898006037676,-1.03684989201575
"3",3,3,"UKENAN_AW_TP000037",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.3232532259418,0.108279740558344,100.271548787626,43.6589040175787,0.121742392209145,0.469652264104324,-18.9670940385627,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,1.00844529991442,1.22527427268901,-0.36480136567952,-0.260290237668804,0.547387118165559,-0.121777656111329,-0.89170243930001
"4",4,4,"UKENAN_AW_TP000050",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,13.0600862826663,0.207259064101211,76.9192595900948,17.3688650687311,0.0787752501958013,0.535729004445361,-27.7135228272312,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.0357782503275061,-0.819211275612596,-1.32529342461996,0.593257015991416,-0.391518966223796,-0.456078465229126,-0.534792743403039
"5",5,5,"UKENAN_AW_TP000051",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,26.1659737867897,0.471946268255862,138.237340135205,36.56600610028,0.0715350128821392,0.608235937315321,-22.296823173049,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,2.70612783088036,0.673684093773302,0.407848739313337,2.87578459951606,0.189949469123243,-0.512410282491033,-0.14315073401403
"6",6,6,"UKENAN_AW_TP000055",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,12.6863714497377,0.124066596780357,82.7640281397696,12.3420041962814,0.173066663051214,0.435855357573084,-23.4971548729706,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.225577067502706,-1.21013288767421,-1.37471403303218,-0.124152433429395,0.061097023905617,0.277544813708894,-1.07425447758256
"7",7,7,"UKENAN_AW_TP000063",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.9788368456832,0.154443361165487,66.3044728456121,36.5351176904393,0.138612273762734,0.612357017693693,-22.9297487639548,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.510430230081016,0.671282008799134,-0.674830493975005,0.137801304866079,0.122006574643031,0.00947647876538242,-0.120890956412708
"8",8,8,"UKENAN_AW_TP000069",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.0544480367932,0.272526060776713,83.5961699223404,16.5576954918645,0.141708309540532,0.525628928221041,-24.2279228564017,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.262787211619651,-0.882293132598525,-0.797073052523694,1.15608634006634,-0.0173489936060463,0.0335648220220528,-0.589347721677587
"9",9,9,"UKENAN_AW_TP000082",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.4756309569196,0.0247142730374042,71.6275368085953,31.8344608038201,0.095292609223445,0.272486923741571,-8.28571428571429,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.272403512332984,0.305728154317734,-0.344650706647919,-0.980916250761724,1.69400509013321,-0.327567090520619,-1.95667963561896
"10",10,10,"UKENAN_AW_TP000107",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.817714699368,0.175533236185186,85.2374274794468,31.8167356029271,0.196774376287577,0.417050818148881,-22.2934627924035,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.336177866327894,0.304349726650244,-0.299413040946387,0.31966964118892,0.190310197131229,0.461999896031743,-1.17582611100054
