"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.382102484859808,0.61814438835907,0.485761607666211,10.0198503992994,0.0594163904422518,1.1611829016344,0.351873942430843,13.2203
"2",2,0.644909391759521,0.803062508002659,0.620545891940273,12.4800928435949,-0.0684374416135782,-1.31527191784422,0.115566493415419,11.0294
"3",3,0.385378157314806,0.62078833535659,0.484822203357681,10.0368303519841,0.0016515279313251,0.0322169519942508,0.309606068757203,13.6986
"4",4,0.514775700293685,0.717478710690209,0.564461850129421,13.1604120509534,0.215556920820733,4.50958746092856,0.447247349110295,11.0236
"5",5,0.531375640222221,0.728955170241779,0.56547361275827,12.6195947875554,0.164522149548361,3.28730386217207,0.433673220774777,14.7368
"6",6,0.311535732490716,0.558153860947603,0.434335139207117,8.61919496318393,-0.054315010179512,-1.03938091401814,0.477632486107062,16.8919
"7",7,0.390197811174332,0.62465815545331,0.490139886109134,10.3547572712004,0.104404644699506,2.05105061747433,0.223715051527112,10.6164
"8",8,0.485495179196721,0.696774841104873,0.565989815299368,12.259498195113,0.191259982602568,3.82794445417776,0.175040844539399,9.589
"9",9,0.346378813133131,0.588539559531159,0.468757506446893,8.73348211721773,-0.179037998051088,-3.30891517996628,0.335135992099073,12.3894
"10",10,0.343074325486931,0.585725469385557,0.467926757822499,9.0851488807806,-0.125472478245367,-2.33358222665985,0.205852618347512,13.0435
