"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.354991882838977,0.595811952581498,0.474988353466331,9.60537405719693,-0.042144182866691,-0.823629712002083,0.405668103246796,96.2712
"2",2,0.491357113851717,0.700968696770203,0.558141841849805,11.0633809871216,-0.152247148596885,-2.9259772779351,0.317282348647662,90.0735
"3",3,0.39339561313967,0.627212574124332,0.497806115794061,10.227568330572,-0.0638901341205923,-1.24632792750762,0.335025405764234,93.4247
"4",4,0.491651413010691,0.701178588528408,0.550582564707639,12.6662464249629,0.198444143935673,4.15157731785961,0.444933963717473,91.3386
"5",5,0.53617003167951,0.732236322289129,0.586149922294305,12.838000189921,0.128609051357527,2.56972713034977,0.345464913144676,91.2281
"6",6,0.287031177950242,0.535752907551832,0.424637246510524,8.23388624240321,-0.138787792214919,-2.65586588035503,0.534471142945719,95.2703
"7",7,0.377304355274253,0.614251052318392,0.484884122041785,10.0694796702097,0.0379754161070345,0.746034823252902,0.252076773252269,94.5205
"8",8,0.426940674444926,0.653406974591583,0.528878729880275,11.2930996800371,0.122217450324139,2.44610296835691,0.276571800701498,94.5205
"9",9,0.329271400439881,0.573821749709682,0.45957126749557,8.55171181333956,-0.221047110062169,-4.08531231322011,0.504524579938404,94.2478
"10",10,0.357919247698312,0.59826352696643,0.466096896885767,8.92020535536812,-0.179750071899963,-3.34305641278807,0.31909990797064,94.3144
