"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.346704594632023,0.588816265597361,0.47048721045374,9.5735329007849,-0.0237508037737499,-0.464165309216436,0.41894911736203,22.3729
"2",2,0.533122022573719,0.730152054419981,0.572757744316784,11.519428080213,-0.0619880977067988,-1.19132454738285,0.21514719678871,17.6471
"3",3,0.371444768468393,0.60946268833161,0.484492490931239,9.99987555399989,-0.026626094829755,-0.519404850898479,0.380213287524809,16.9863
"4",4,0.522521832743761,0.722856716606937,0.566143452255701,13.2098223524978,0.258491114331019,5.40779801228492,0.45929720333547,19.1601
"5",5,0.545748226784809,0.738747742321294,0.584096322904825,12.9180268309949,0.187708505437434,3.75058857777471,0.355399372002872,18.5965
"6",6,0.289314930180193,0.537880033260385,0.422799534469469,8.28089599801778,-0.095388280132758,-1.82536572235427,0.509843401845004,27.027
"7",7,0.380836766515297,0.617119734342775,0.490772981003479,10.2207304629858,0.0800294060422635,1.57219406427294,0.260297380469848,18.1507
"8",8,0.464946609484667,0.681869935900291,0.55460929735784,12.0306569473831,0.240419405339365,4.81183840353012,0.307134633143,18.2648
"9",9,0.317032130620279,0.563056063478832,0.445088184458908,8.44033638836219,-0.115434718195779,-2.13342248847169,0.446120850971875,18.5841
"10",10,0.357106958381406,0.597584268853696,0.462830889141881,8.97679004442715,-0.0959851557153908,-1.78516640886453,0.286348871865257,27.4247
