...1,X.3,X.2,site_code,X.1,X,sample_id,sample_collection_date_time,Week_date,ammonia_mg_l,ophosph_mg_l,GI_ND,GI_lower_LOQ,GII_ND,GII_lower_LOQ,GI_per_litre,GII_per_litre,Log10_GI,Log10_GII,Log10_NoV,Log10_GI_norm,Log10_GII_norm,Log10_NoV_norm,site_name,site_type,water_company_name,catchment_population_ons_mid_2019,grab_compo_ind,region,collection_date,week_beginning,avg_Log10_NoV,date,imd,bame,school_den,carehome_den,prop_agri,prop_urb,mob_7day,temp_2,temp_3,temp_1,temp_4,temp_5,rain_1,rain_2,rain_3,rain_4,rain_5,lockdown_NA,lockdown_step3,lockdown_step4,lockdown_planB,lockdown_lifting,lockdown_planA,scale_school_den,scale_carehome_den,scale_imd,scale_bame,scale_mob_7day,scale_prop_agri,scale_prop_urb,row_id,Easting,Northing,fold.x,stacked_pred,fold.y,Bias,week,ci_lower,ci_upper
36,36,36,UKENMI_ST_TP000156,785,788,2106490-47,30/05/2021 14:00,27/05/2021,38,3.700000048,FALSE,TRUE,FALSE,FALSE,1140,18794.11814,3.056904851,4.274021952,4.299597028,1.873356251,3.090473352,3.116048427,BIRMINGHAM BLACK COUNTRY NO. 1 MINWORTH STW,SEWAGE TREATMENT PLANT,Severn Trent Water,1416777,Grab,West Midlands,2021-05-30,2021-05-24,3.116048427,2021-05-30,35.7808656491729,0.443951862912166,80.6760696990423,22.7982244206392,0.0139152399027151,0.814186559797671,-20.4819982894245,2,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0.148642335522753,-0.380245419790467,1.73800027084494,2.58975008870236,0.385698141918527,-0.950872260820871,0.953610654078605,1,416499,292356,3,3.3569031898962693,3,-0.2408547628962694,1,3.1014678630121333,4.836073028377314
39,39,39,UKENMI_ST_TP000180,835,838,2106770-08,30/05/2021 11:50,27/05/2021,51,4.800000191,FALSE,FALSE,FALSE,FALSE,4929.08572,17594.31073,3.692766371,4.245372258,4.352633881,3.131747355,3.684353241,3.791614865,STOURBRIDGE HALESOWEN STW,SEWAGE TREATMENT PLANT,Severn Trent Water,268134,Grab,West Midlands,2021-05-30,2021-05-24,3.791614865,2021-05-30,22.4319466597498,0.127160216741295,60.0446045633899,31.3276197722035,0.0417063739949236,0.79309663436715,-21.6048736960771,2,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,-0.767616756776237,0.274528370925728,-0.043462732462619,-0.119252273960677,0.265814568876474,-0.734815478084387,0.841300904812593,2,387079,283821,1,4.325282701712787,1,-0.533667836712787,1,3.1014678630121333,4.836073028377314
48,48,48,UKENMI_ST_TP000241,1040,1043,2106771-20,30/05/2021 12:00,27/05/2021,46,4.900000095,FALSE,FALSE,FALSE,TRUE,18117.11444,1630,4.258089028,3.212187604,4.295503643,4.233118873,3.187217449,4.270533488,WORCESTER STW,SEWAGE TREATMENT PLANT,Severn Trent Water,101066,Grab,West Midlands,2021-05-30,2021-05-24,4.270533488,2021-05-30,19.547674364033,0.0837218325425818,89.0507193319217,21.7679536144698,0.045304936139573,0.772422144588185,-19.4955453109277,2,1,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0.520566909007559,-0.459335940679037,-0.428379622763299,-0.490709939738604,0.491016601116706,-0.706839154524845,0.73120346653915,3,384619,253411,7,4.302542630894967,7,-0.03200914289496737,1,3.1014678630121333,4.836073028377314
61,63,63,UKENNE_YW_TP000082,1336,1341,2106599-11,30/05/2021 07:00,27/05/2021,25,1.100000024,TRUE,TRUE,FALSE,TRUE,950,1630,2.977723605,3.212187604,3.411619706,2.553287723,2.787751722,2.987183824,BRADFORD ESHOLT STW,SEWAGE TREATMENT PLANT,Yorkshire Water,363540,Composite,Yorkshire and The Humber,2021-05-30,2021-05-24,2.987183824,2021-05-30,37.0068868245332,0.440139925563984,98.7511690598008,18.1548110249216,0.099841008999127,0.691790419426688,-26.4816976326323,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.951371275256822,-0.736705082598659,1.90161736724852,2.55715280462821,-0.25485858430459,-0.282859031726576,0.301816986932708,4,418979,438751,6,3.590728995535821,6,-0.6035451715358207,1,3.1014678630121333,4.836073028377314
63,66,66,UKENNE_YW_TP000095,1391,1396,2106716-12,30/05/2021 09:00,27/05/2021,22,2.299999952,FALSE,FALSE,FALSE,FALSE,6009.051547,4507.115155,3.778805929,3.653898654,4.021857462,3.30468205,3.179774775,3.547733582,HULL STW,SEWAGE TREATMENT PLANT,Yorkshire Water,332695,Composite,Yorkshire and The Humber,2021-05-30,2021-05-24,3.547733582,2021-05-30,33.4671362099737,0.0571447012796943,82.9588662288282,35.1673454665685,0.0103711248584819,0.676162975443746,-15.9114833940585,2,1,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0.250023069393682,0.569291556893963,1.42922445170462,-0.717980804530076,0.873668270262392,-0.978425295956622,0.218596478582646,5,516284,429068,5,3.830620221744746,5,-0.2828866397447456,1,3.1014678630121333,4.836073028377314
65,68,68,UKENNE_YW_TP000098,1433,1438,2106484-09,30/05/2021 11:30,27/05/2021,33,3.9000000950000002,TRUE,TRUE,FALSE,TRUE,950,1630,2.977723605,3.212187604,3.411619706,2.029002339,2.263466338,2.462898439,LEEDS KNOSTROP STW,SEWAGE TREATMENT PLANT,Yorkshire Water,624860,Composite,Yorkshire and The Humber,2021-05-30,2021-05-24,2.462898439,2021-05-30,30.9901149055436,0.230916029042844,95.5414012738854,18.0840508273853,0.176815388859719,0.588059705596641,-23.704102792557,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.808823041349226,-0.742137111583477,1.09865672440451,0.76800199572203,0.0416907852145778,0.315563357609385,-0.250578065378735,6,434649,430711,6,3.0273288043050934,6,-0.5644303653050935,1,3.1014678630121333,4.836073028377314
67,70,70,UKENNE_YW_TP000107,1464,1469,2106723-21,30/05/2021 07:00,27/05/2021,23,2.4000000950000002,FALSE,TRUE,FALSE,TRUE,1140,1630,3.056904851,3.212187604,3.442479769,2.766027919,2.921310673,3.151602837,DEWSBURY AND BATLEY STW,SEWAGE TREATMENT PLANT,Yorkshire Water,255787,Composite,Yorkshire and The Humber,2021-05-30,2021-05-24,3.151602837,2021-05-30,28.1848735232249,0.251371850575575,87.5728633589666,26.9755695168245,0.104756082839007,0.667097561704407,-22.3854732596967,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.454934198803739,-0.0595642963322471,0.724286804120492,0.942927280312684,0.182474009231691,-0.244647743290727,0.170320615900628,7,426089,419971,2,3.274278486614312,2,-0.12267564961431221,1,3.1014678630121333,4.836073028377314
77,82,82,UKENNW_UU_TP000038,1716,1721,2106489-20,30/05/2021 08:00,27/05/2021,29,4.099999905,FALSE,TRUE,FALSE,TRUE,1140,1630,3.056904851,3.212187604,3.442479769,3.131812575,3.287095328,3.517387493,CREWE STW,SEWAGE TREATMENT PLANT,United Utilities Water,90137,Composite,North West,2021-05-30,2021-05-24,3.517387493,2021-05-30,20.3515960410557,0.0600998221006406,79.878407313312,18.860179504532,0.150391573109679,0.68483959824049,-24.5714285714286,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0.113217540981753,-0.682556250916057,-0.321093277980799,-0.692710475016462,-0.0509090818290667,0.110136526173389,0.264801920796673,8,366639,357111,2,4.126167165113378,2,-0.6087796721133776,1,3.1014678630121333,4.836073028377314
79,84,84,UKENNW_UU_TP000050,1755,1760,2106686-08,30/05/2021 08:04,27/05/2021,40,4.699999809,FALSE,TRUE,FALSE,FALSE,1140,46312.80506,3.056904851,4.665701086,4.67626189,2.476681662,4.085477897,4.096038701,Fleetwood and Blackpool Fleetwood Marsh STW,SEWAGE TREATMENT PLANT,United Utilities Water,227168,Composite,North West,2021-05-30,2021-05-24,4.096038701,2021-05-30,36.2702325546654,0.0380728289478337,61.628398365967,45.3408930835329,0.0624055064042297,0.843620160382598,-18.6671173264426,2,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,-0.697279266811438,1.35028154078183,1.80330810872071,-0.881071428389364,0.579463552755067,-0.57389408714896,1.11035280627727,9,333099,446501,3,4.224674484220082,3,-0.12863578322008173,1,3.1014678630121333,4.836073028377314
88,93,93,UKENNW_UU_TP000110,1934,1940,2106705-16,27/05/2021 08:00,27/05/2021,37,4.400000095,FALSE,FALSE,FALSE,FALSE,5941.96543,16809.80974,3.773930121,4.225562798,4.357015287,3.178020279,3.629652957,3.761105446,LIVERPOOL SANDON NORTH LIVERPOOL DOCKS STW,SEWAGE TREATMENT PLANT,United Utilities Water,493125,Composite,North West,2021-05-27,2021-05-24,3.761105446,2021-05-27,41.2870056650881,0.117933475472358,90.8491761723701,19.467680608365,0.0109137979539714,0.723849142306121,-25.1020862871641,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0.60043774810374,-0.635920377653593,2.47281518261092,-0.198153546135477,-0.107564648998678,-0.974206389211036,0.472538649284681,10,333486,392845,8,4.206835977048196,8,-0.4457305310481958,1,3.1014678630121333,4.836073028377314
