fold,MAE,RMSE,Bias,Correlation
1,0.4541153869115148,0.5936666919735702,0.03081336758749039,0.643503121227715
2,0.4620999000180171,0.5996870339383681,0.04048277275572051,0.6441758439360935
3,0.4447103465009276,0.5754312071489301,0.02860319130000995,0.681341432434939
4,0.4989268691614971,0.684791904485368,-0.023386041540557248,0.5637941653625287
5,0.5069154157740313,0.6486235846881511,-0.10216846602421499,0.6216550132040356
6,0.49313894626411126,0.626438257109734,0.06710773842875738,0.5913009689371537
7,0.4894304890804512,0.6197945501102042,0.01963040035715504,0.6096537772165528
8,0.48941686255397737,0.6600207305111927,-0.04778737207472296,0.5498406756655773
9,0.4654260150724046,0.6049385869367208,0.0713729714966585,0.6086220384225713
10,0.458670900829851,0.6204703313622031,0.006320533590432658,0.5225460292148051
