"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,0.409555624674433,0.501044332837344,10.3666551633131,0.175401346025672,3.4368373057809,0.547741708537322
"2",2,0.532379774669895,0.578242414823936,12.8427615338723,0.182826507201682,3.71029044311145,0.319546166623609
"3",3,0.603888566776468,0.617373699413464,12.1738066918161,-0.0245815066056084,-0.467206478025027,0.337959380420142
"4",4,0.395124850126506,0.506250905611124,10.0487374368236,-0.1166520134516,-2.22252900843009,0.528335299686692
"5",5,1.5299155067916,0.903540664499195,17.5334643931458,-0.138295732502461,-2.68302807263889,-0.17873868926544
"6",6,1.46810739719897,0.920452900593534,18.3797431771648,-0.541368975618149,-11.0141228648481,-0.114038699230231
"7",7,0.446924426255971,0.520218398248302,10.5157983621827,-0.0110785398539791,-0.212809318438291,0.343634318117577
"8",8,0.430959858690366,0.522982725095032,11.3592612047017,0.0117690464723476,0.238528126589578,0.372141075275399
"9",9,0.655677465620989,0.620977557544345,14.4683672106156,-0.0198318580354845,-0.421993810264905,0.455092012541426
"10",10,0.518358556712892,0.56107886313524,11.0114628903157,-0.34835590982171,-6.84199411638346,0.474706143713325
