"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.306189499792673,0.553343925414089,0.426057997359873,8.84466659008883,0.0133211620234093,0.261016620657541,0.559252032129085,40.3883
"2",2,0.575050960860786,0.758321146257169,0.595435184739916,13.2237293460421,0.207551185956222,4.21205433225459,0.26946214656823,31.9553
"3",3,0.606974644423003,0.779085774753334,0.625022960328605,12.4947534335894,-0.0459807557016614,-0.873929628194599,0.235499941325277,37.9728
"4",4,0.374519325953592,0.611979841133343,0.496822051370614,9.78856545153079,-0.203391626731082,-3.87514777590335,0.553845496632424,37.9928
"5",5,0.441265951678029,0.664278519657251,0.5362426678527,10.9851173864822,0.213329464441089,4.138731770384,0.24216979681027,37.5238
"6",6,1.75881635909644,1.32620373966312,0.967327631267886,18.9259269467157,-0.595703819359525,-12.1195623557729,-0.0561197672968889,27.2085
"7",7,0.45415977429853,0.673913773637644,0.542979701538663,10.8323496469805,-0.148297933296244,-2.84867703926215,0.420026080165745,30.3691
"8",8,0.548973800559033,0.740927662163475,0.593110697125918,12.6966764929871,0.128213466992338,2.59855529987865,0.458513642896608,27.7159
"9",9,0.799428455233467,0.894107630676233,0.684508908386201,15.6976561252644,0.0130877847557326,0.278489496401016,0.232320023678219,25.6065
"10",10,0.516320647706342,0.718554554439913,0.572290679050783,11.5162465672601,-0.098640343922955,-1.93737678543853,0.198065612304294,32.3217
