"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.336112918461083,0.579752463091864,0.45434976936609,9.34398376451612,-0.0360973919802376,-0.70729710010845,0.517621667467325,8.932
"2",2,0.4381119861605,0.661900284152001,0.519628285276348,11.5202320085256,0.0932340099750519,1.89209574409137,0.323038892182702,8.0447
"3",3,0.439223467568308,0.662739366243102,0.531746188867944,10.6538015184601,-0.131004433111924,-2.4899254867447,0.302559520111408,6.0514
"4",4,0.416158619314224,0.645103572548024,0.522773030852345,10.3623687937481,-0.178400061812282,-3.39899244557858,0.462249360334633,6.6308
"5",5,0.332386645189793,0.576529830268819,0.449993731843992,9.28809109033061,0.084306745036122,1.63560624432644,0.294594430250033,8.5714
"6",6,0.715787504280403,0.846042259157545,0.665033081448737,14.2910903277591,-0.0477874034988018,-0.97223216924629,0.000637885944656365,5.1237
"7",7,0.408530254581285,0.639163715006793,0.507979135840431,10.1953942238747,-0.137808494570052,-2.64718385193392,0.420519070485323,7.047
"8",8,0.445930010361835,0.667779911618967,0.519779642990526,11.5038962062703,0.0378880087364092,0.767891924408598,0.315980972556833,6.546
"9",9,0.618962223186323,0.786741522475027,0.603782624031651,14.7045963441774,0.282422125400802,6.00954225205483,0.359425180369018,7.2776
"10",10,0.321234698692633,0.566775704042289,0.456023621624597,9.18987663332486,-0.134602598074758,-2.64370478040339,0.521542179160303,7.5873
