"","Fold","MSE","RMSE","MAE","MAPE","BIAS","pBIAS","CORR"
"1",1,1.3664131421428,1.16893675711854,1.04598632273407,19.6462169737846,-1.01532591556147,-19.8944310473939,0.494540617856407
"2",2,1.14662271696085,1.07080470533186,0.935056436478036,18.1214421301547,-0.848198540613365,-17.2133843569369,0.363577905871301
"3",3,1.58894896845673,1.26053519128056,1.13893726367818,20.7604859740051,-1.09249493732729,-20.7644193709591,0.377403189797518
"4",4,1.67619954702659,1.29468125306061,1.17641768134104,21.5222854704852,-1.13746762410629,-21.6717630148339,0.552104742838895
"5",5,1.14817244386741,1.07152808823073,0.95531536534441,17.7766425812142,-0.915848953555703,-17.7680714236296,0.399109182835697
"6",6,1.59288619243184,1.26209595214938,1.07798104789542,20.7362023610218,-1.0039619718686,-20.4255526411905,0.0880627607721815
"7",7,1.58050014347875,1.25717943965003,1.14838984627443,21.2809734960952,-1.11399596308575,-21.398914005995,0.54164339720345
"8",8,1.37246878537456,1.17152412923275,1.03568703432196,20.0361401592698,-0.968605385706599,-19.6311254781785,0.368475982852261
"9",9,1.08184989830712,1.04012013647805,0.880886288076926,17.8613201195832,-0.752972946322886,-16.0221963104338,0.457859981207189
"10",10,1.51026207489219,1.22892720487919,1.11708490638741,21.0955638073548,-1.09390986899096,-21.4852817950485,0.506921718616121
