"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3581,0.4701,9.6922,-0.0414,0.8471,0.5668,89.1051
"2",2,0.4984,0.5487,12.324,0.088,4.1272,0.374,79.2411
"3",3,0.489,0.5532,11.2068,-0.1022,0.0539,0.345,80.303
"4",4,0.4541,0.5277,10.8043,-0.1176,-0.2029,0.4665,84.8921
"5",5,0.3628,0.457,9.5479,0.1139,3.6776,0.383,85.2713
"6",6,0.8088,0.7152,15.3177,-0.0651,1.5784,0.0281,61.3475
"7",7,0.4775,0.5281,10.8624,-0.1287,-0.489,0.4508,89.2617
"8",8,0.514,0.5633,12.5498,0.0147,2.7691,0.3564,85.7143
"9",9,0.7086,0.6392,15.7582,0.2857,9.5996,0.3645,70.8108
"10",10,0.3655,0.4713,9.681,-0.0979,-0.3639,0.5131,85.1964
