"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.3577,0.4698,9.6862,-0.0413,0.8466,0.5677,89.1051
"2",2,0.4984,0.5487,12.3245,0.088,4.1271,0.374,79.2411
"3",3,0.489,0.5532,11.207,-0.1021,0.057,0.3447,80
"4",4,0.4541,0.5277,10.8036,-0.1175,-0.2017,0.4665,84.8921
"5",5,0.363,0.4571,9.5496,0.1139,3.679,0.3835,85.2713
"6",6,0.8089,0.7152,15.3184,-0.0651,1.5792,0.0278,60.2837
"7",7,0.4749,0.5286,10.8771,-0.1254,-0.4313,0.4463,80.5369
"8",8,0.5139,0.5632,12.5499,0.0147,2.7701,0.3569,84.5938
"9",9,0.7084,0.6391,15.7575,0.2856,9.5975,0.3644,70.8108
"10",10,0.3656,0.4714,9.6811,-0.0986,-0.3789,0.5132,85.1964
