"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.5025,0.5587,12.465,0.1804,5.8141,0.352,74.0458
"2",2,0.5839,0.6021,12.0898,-0.1881,-1.7877,0.2533,72.7549
"3",3,0.4314,0.5085,11.2029,0.0574,3.3031,0.5019,82.2186
"4",4,0.415,0.503,11.2393,0.1091,4.1651,0.4352,82.0541
"5",5,0.2965,0.4168,8.7481,-0.003,1.3112,0.4603,91.6031
"6",6,0.3462,0.4629,9.0769,-0.1004,-0.6649,0.4191,85.7377
"7",7,0.6721,0.643,15.7761,0.3491,10.5186,0.3404,73.1939
"8",8,0.3432,0.4823,9.1475,-0.3032,-4.8136,0.5282,86.5009
"9",9,0.2972,0.4279,8.7277,-0.0803,-0.258,0.6181,89.7059
"10",10,0.3955,0.495,10.5844,-0.0097,1.7494,0.5029,84.5779
