"","Fold","MSE","MAE","MAPE","BIAS","pBIAS","CORR","COV"
"1",1,0.2809,0.4161,8.5368,-0.0212,0.8951,0.6128,92.4272
"2",2,0.4211,0.5089,11.252,0.093,3.776,0.4019,80.7821
"3",3,0.4096,0.5035,10.1485,-0.097,-0.1955,0.3696,81.8457
"4",4,0.3762,0.4907,9.8593,-0.1186,-0.6158,0.5031,86.0215
"5",5,0.3012,0.422,8.7113,0.1094,3.3168,0.4374,88.5714
"6",6,0.7333,0.6792,14.4116,-0.0587,1.3277,0.05,61.3074
"7",7,0.3829,0.4861,9.7387,-0.1393,-1.1826,0.4742,84.2282
"8",8,0.4195,0.5091,11.1876,0.0269,2.5201,0.383,84.5404
"9",9,0.6081,0.5978,14.4758,0.2848,8.9638,0.3917,73.0458
"10",10,0.2851,0.4214,8.5398,-0.0928,-0.6412,0.5585,89.8331
